Time [s],Channel 1,Channel 2
0.000000000,1,1
2.626765200,1,0
2.626782400,1,1
2.626791100,1,0
2.626825700,1,1
2.626834300,1,0
2.626843000,1,1
2.767743700,0,1
2.767752400,1,1
2.767769700,0,1
2.767804400,1,1
2.767813000,0,1
2.767821700,1,1
2.767830400,0,1
2.767839000,1,1
2.767865000,0,1
2.767899700,1,1
2.767917000,0,1
2.767951700,1,1
2.768003700,0,1
2.768021000,1,1
2.768029700,0,1
2.768038300,1,1
2.768047000,0,1
2.768055700,1,1
2.768064300,0,1
2.768073000,1,1
2.768090400,0,1
2.768107700,1,1
2.768125000,0,1
2.768133700,1,1
2.768151000,0,1
2.768159700,1,1
2.768177000,0,1
2.768194300,1,1
2.768203000,0,1
2.768211700,1,1
2.768220300,0,1
2.768229000,1,1
2.768237700,0,1
2.768246300,1,1
2.768263700,0,1
2.768272300,1,1
2.768281000,0,1
2.768298300,1,1
2.768333000,0,1
2.768341600,1,1
2.768350300,0,1
2.768359000,1,1
2.768376300,0,1
2.768384900,1,1
2.768410900,0,1
2.768419600,1,1
2.768436900,0,1
2.768445600,1,1
2.768480200,0,1
2.768488900,1,1
2.768523600,0,1
2.768532200,1,1
2.768549600,0,1
2.768566900,1,1
2.768575600,0,1
2.768584200,1,1
2.768592900,0,1
2.768601600,1,1
2.768610200,0,1
2.768618900,1,1
2.768636200,0,1
2.768662200,1,1
2.768696900,0,1
2.768705500,1,1
2.768722900,0,1
2.768731500,1,1
2.768748900,0,1
2.768766200,1,1
2.768783500,0,1
2.768818200,1,1
2.768826800,0,1
2.768844200,1,1
2.768852800,0,1
2.768861500,1,1
2.768870200,0,1
2.768887500,1,1
2.768896100,0,1
2.768922100,1,1
2.768939500,0,1
2.768948100,1,1
2.768956800,0,1
2.768965500,1,1
2.768974100,0,1
2.768982800,1,1
2.769000100,0,1
2.769017400,1,1
2.769043500,0,1
2.769060800,1,1
2.769069400,0,1
2.769078100,1,1
2.769086800,0,1
2.769104100,1,1
2.769112800,0,1
2.769121400,1,1
2.769130100,0,1
2.769164800,1,1
2.769173400,0,1
2.769190800,1,1
2.769216800,0,1
2.769242800,1,1
2.769303400,0,1
2.769320800,1,1
2.769329400,0,1
2.769338100,1,1
2.769390100,0,1
2.769398800,1,1
2.769407400,0,1
2.769424800,1,1
2.769433400,0,1
2.769442100,1,1
2.769450800,0,1
2.769468100,1,1
2.769476800,0,1
2.769502800,1,1
2.769511400,0,1
2.769554800,1,1
2.769563500,0,1
2.769580800,1,1
2.769589400,0,1
2.769615400,1,1
2.769624100,0,1
2.769641400,1,1
2.769650100,0,1
2.769658800,1,1
2.769702100,0,1
2.769719500,1,1
2.769736800,0,1
2.769762800,1,1
2.769797500,0,1
2.769806100,1,1
2.769823500,0,1
2.769840800,1,1
2.769858100,0,1
2.769866800,1,1
2.769910100,0,1
2.769927500,1,1
2.769936100,0,1
2.769944800,1,1
2.769953500,0,1
2.769962100,1,1
2.769979500,0,1
2.769988100,1,1
2.769996800,0,1
2.770005500,1,1
2.770040100,0,1
2.770066100,1,1
2.770083500,0,1
2.770092100,1,1
2.770100800,0,1
2.770109500,1,1
2.770144100,0,1
2.770161400,1,1
2.770170100,0,1
2.770196100,1,1
2.770213400,0,1
2.770222100,1,1
2.770256800,0,1
2.770274100,1,1
2.770282800,0,1
2.770291400,1,1
2.770300100,0,1
2.770326100,1,1
2.770343400,0,1
2.770360700,1,1
2.770369400,0,1
2.770378100,1,1
2.770395400,0,1
2.770404100,1,1
2.770412800,0,1
2.770421400,1,1
2.770430100,0,1
2.770438700,1,1
2.770447400,0,1
2.770508100,1,1
2.770516800,0,1
2.770534100,1,1
2.770542700,0,1
2.770577400,1,1
2.770603400,0,1
2.770612100,1,1
2.770620700,0,1
2.770629400,1,1
2.770638100,0,1
2.770672700,1,1
2.770690100,0,1
2.770716000,1,1
2.770724700,0,1
2.770742000,1,1
2.770776700,0,1
2.770785400,1,1
2.770794000,0,1
2.770837300,1,1
2.770863400,0,1
2.770872000,1,1
2.770880700,0,1
2.770915400,1,1
2.770924000,0,1
2.770932700,1,1
2.770950000,0,1
2.770958700,1,1
2.770984700,0,1
2.771002000,1,1
2.771010700,0,1
2.771019300,1,1
2.771036700,0,1
2.771045300,1,1
2.771054000,0,1
2.771097300,1,1
2.771123300,0,1
2.771140600,1,1
2.771149300,0,1
2.771158000,1,1
2.771184000,0,1
2.771192600,1,1
2.771210000,0,1
2.771227300,1,1
2.771262000,0,1
2.771287900,1,1
2.771296600,0,1
2.771331200,1,1
2.771339900,0,1
2.771374500,1,1
2.771383200,0,1
2.771409200,1,1
2.771417900,0,1
2.771426500,1,1
2.771452500,0,1
2.771461200,1,1
2.771469800,0,1
