Time [s],Channel 1,Channel 2
0.000000000,1,1
2.370149200,1,0
2.370184000,1,1
2.370201400,1,0
2.370210000,1,1
2.370218700,1,0
2.370227400,1,1
2.370236100,1,0
2.370279500,1,1
2.370288200,1,0
2.370314300,1,1
2.370323000,1,0
2.370331700,1,1
2.370375100,1,0
2.370383800,1,1
2.370409900,1,0
2.370435900,1,1
2.370453300,1,0
2.370488000,1,1
2.370496700,1,0
2.370505400,1,1
2.370514100,1,0
2.370522800,1,1
2.370566200,1,0
2.370574900,1,1
2.370583600,1,0
2.370592300,1,1
2.370618400,1,0
2.370635700,1,1
2.370670500,1,0
2.370679200,1,1
2.370687900,1,0
2.370705200,1,1
2.370731300,1,0
2.370740000,1,1
2.370757400,1,0
2.370766000,1,1
2.370774700,1,0
2.370809500,1,1
2.370844200,1,0
2.370852900,1,1
2.370887700,1,0
2.370905000,1,1
2.370931100,1,0
2.370957200,1,1
2.370974500,1,0
2.370983200,1,1
2.371018000,1,0
2.371096200,1,1
2.371104900,1,0
2.371113500,1,1
2.371122200,1,0
2.371139600,1,1
2.371148300,1,0
2.371165700,1,1
2.371191700,1,0
2.371209100,1,1
2.371217800,1,0
2.371252500,1,1
2.371261200,1,0
2.371269900,1,1
2.371278600,1,0
2.371287300,1,1
2.371348100,1,0
2.371356800,1,1
2.371365500,1,0
2.371374200,1,1
2.371400200,1,0
2.371408900,1,1
2.371417600,1,0
2.371435000,1,1
2.371452400,1,0
2.371469700,1,1
2.371495800,1,0
2.371530500,1,1
2.371539200,1,0
2.371556600,1,1
2.371565300,1,0
2.371574000,1,1
2.371582700,1,0
2.371591400,1,1
2.371608700,1,0
2.371617400,1,1
2.371626100,1,0
2.371634800,1,1
2.371643500,1,0
2.371660900,1,1
2.371678200,1,0
2.371695600,1,1
2.389808000,0,1
2.389842700,1,1
2.389860100,0,1
2.389868800,1,1
2.389877500,0,1
2.389886100,1,1
2.389894800,0,1
2.389938300,1,1
2.389947000,0,1
2.389973000,1,1
2.389981700,0,1
2.389999100,1,1
2.390007800,0,1
2.390016500,1,1
2.390033800,0,1
2.390051200,1,1
2.390068600,0,1
2.390077300,1,1
2.390094700,0,1
2.390103300,1,1
2.390112000,0,1
2.390138100,1,1
2.390155500,0,1
2.390164200,1,1
2.390172800,0,1
2.390181500,1,1
2.390190200,0,1
2.390198900,1,1
2.390207600,0,1
2.390225000,1,1
2.390242300,0,1
2.390259700,1,1
2.390268400,0,1
2.390277100,1,1
2.390285800,0,1
2.390294500,1,1
2.390303200,0,1
2.390311800,1,1
2.390329200,0,1
2.390346600,1,1
2.390364000,0,1
2.390372700,1,1
2.390416100,0,1
2.390424800,1,1
2.390442200,0,1
2.390450800,1,1
2.390468200,0,1
2.390476900,1,1
2.390485600,0,1
2.390494300,1,1
2.390503000,0,1
2.390529000,1,1
2.390537700,0,1
2.390555100,1,1
2.390589900,0,1
2.390615900,1,1
2.390624600,0,1
2.390650700,1,1
2.390676700,0,1
2.390685400,1,1
2.390702800,0,1
2.390711500,1,1
2.390763600,0,1
2.390815700,1,1
2.390850500,0,1
2.390859200,1,1
2.390885200,0,1
2.390920000,1,1
2.390937400,0,1
2.390963400,1,1
2.390972100,0,1
2.390998200,1,1
2.391024200,0,1
2.391032900,1,1
2.391059000,0,1
2.391076300,1,1
2.391085000,0,1
2.391102400,1,1
2.391111100,0,1
2.391119800,1,1
2.391137200,0,1
2.391145800,1,1
2.391171900,0,1
2.391180600,1,1
2.391198000,0,1
2.391215300,1,1
2.391267500,0,1
2.391276200,1,1
2.391284900,0,1
2.391302200,1,1
2.391319600,0,1
2.391328300,1,1
2.391337000,0,1
2.391354300,1,1
2.410034800,1,0
2.410069600,1,1
2.410086900,1,0
2.410095600,1,1
2.410104300,1,0
2.410113000,1,1
2.410121700,1,0
2.410165100,1,1
2.410173800,1,0
2.410199900,1,1
2.410208600,1,0
2.410217200,1,1
2.410225900,1,0
2.410243300,1,1
2.410260700,1,0
2.410269400,1,1
2.410278100,1,0
2.410286700,1,1
2.410295400,1,0
2.410304100,1,1
2.410312800,1,0
2.410321500,1,1
2.410330200,1,0
2.410338900,1,1
2.410347600,1,0
2.410373600,1,1
2.410382300,1,0
2.410391000,1,1
2.410434400,1,0
2.410460500,1,1
2.410469200,1,0
2.410477900,1,1
2.410495300,1,0
