Time [s],Channel 1,Channel 2
0.000000000,1,1
2.549789900,1,0
2.549824600,1,1
2.549842000,1,0
2.549850700,1,1
2.549859400,1,0
2.549868000,1,1
2.549876700,1,0
2.549920200,1,1
2.549928900,1,0
2.549954900,1,1
2.549963600,1,0
2.549981000,1,1
2.549989700,1,0
2.550007000,1,1
2.550024400,1,0
2.550041800,1,1
2.550050500,1,0
2.550085200,1,1
2.550120000,1,0
2.550128700,1,1
2.550137400,1,0
2.550163400,1,1
2.550172100,1,0
2.550198200,1,1
2.550206900,1,0
2.550215500,1,1
2.550224200,1,0
2.550232900,1,1
2.550241600,1,0
2.550267700,1,1
2.550293700,1,0
2.550302400,1,1
2.550311100,1,0
2.550319800,1,1
2.550337200,1,0
2.550363200,1,1
2.550371900,1,0
2.550389300,1,1
2.550398000,1,0
2.550415400,1,1
2.550424100,1,0
2.550458800,1,1
2.550467500,1,0
2.550476200,1,1
2.550484900,1,0
2.550493600,1,1
2.550502200,1,0
2.550510900,1,1
2.550519600,1,0
2.550528300,1,1
2.550545700,1,0
2.550563100,1,1
2.550571700,1,0
2.550580400,1,1
2.550589100,1,0
2.550606500,1,1
2.550623900,1,0
2.550632600,1,1
2.550641200,1,0
2.550649900,1,1
2.550658600,1,0
2.550702100,1,1
2.550719400,1,0
2.550736800,1,1
2.550745500,1,0
2.550788900,1,1
2.550806300,1,0
2.550823700,1,1
2.550832400,1,0
2.550875800,1,1
2.550893200,1,0
2.550910600,1,1
2.550919300,1,0
2.550962700,1,1
2.550980100,1,0
2.550997400,1,1
2.551006100,1,0
2.551049600,1,1
2.551066900,1,0
2.551084300,1,1
2.551093000,1,0
2.551136400,1,1
2.551153800,1,0
2.551171200,1,1
2.551179900,1,0
2.551223300,1,1
2.551240700,1,0
2.551258100,1,1
2.551266800,1,0
2.551310200,1,1
2.551327600,1,0
2.551344900,1,1
2.557561400,0,1
2.557570100,1,1
2.557578800,0,1
2.557596200,1,1
2.557613500,0,1
2.557622200,1,1
2.557630900,0,1
2.557639600,1,1
2.557648300,0,1
2.557691700,1,1
2.557700400,0,1
2.557726500,1,1
2.557735200,0,1
2.557752500,1,1
2.557778600,0,1
2.557804700,1,1
2.557822000,0,1
2.557830700,1,1
2.557856800,0,1
2.557865500,1,1
2.557874200,0,1
2.557900200,1,1
2.557908900,0,1
2.557935000,1,1
2.557961000,0,1
2.557987100,1,1
2.557995800,0,1
2.558004500,1,1
2.558021900,0,1
2.558047900,1,1
2.558065300,0,1
2.558074000,1,1
2.558082700,0,1
2.558091300,1,1
2.558100000,0,1
2.558126100,1,1
2.558134800,0,1
2.558160800,1,1
2.558169500,0,1
2.558178200,1,1
2.558186900,0,1
2.558195600,1,1
2.558204300,0,1
2.558213000,1,1
2.558221700,0,1
2.558230300,1,1
2.558239000,0,1
2.558247700,1,1
2.558256400,0,1
2.558273800,1,1
2.558282500,0,1
2.558299800,1,1
2.558343300,0,1
2.558412800,1,1
2.558430200,0,1
2.558438800,1,1
2.558447500,0,1
2.558473600,1,1
2.558491000,0,1
2.558508300,1,1
2.558517000,0,1
2.558525700,1,1
2.558543100,0,1
2.558569200,1,1
2.558577900,0,1
2.558586500,1,1
2.558603900,0,1
2.558656000,1,1
2.558690800,0,1
2.558699500,1,1
2.558708200,0,1
2.558725500,1,1
2.558751600,0,1
2.558760300,1,1
2.558777700,0,1
2.558786300,1,1
2.558803700,0,1
2.558821100,1,1
2.558864500,0,1
2.558873200,1,1
2.558881900,0,1
2.558890600,1,1
2.558916700,0,1
2.558925300,1,1
2.558934000,0,1
2.558942700,1,1
2.558951400,0,1
2.558960100,1,1
2.558968800,0,1
2.558986200,1,1
2.558994900,0,1
2.559020900,1,1
2.559038300,0,1
2.559055700,1,1
2.559090400,0,1
2.559099100,1,1
2.559107800,0,1
2.559116500,1,1
2.559891300,1,0
2.559908700,1,1
2.559926000,1,0
2.559934700,1,1
2.559943400,1,0
2.559952100,1,1
2.559960800,1,0
2.559969500,1,1
2.559978200,1,0
2.560030300,1,1
2.560039000,1,0
2.560056300,1,1
2.560065000,1,0
2.560082400,1,1
2.560091100,1,0
2.560125800,1,1
2.560134500,1,0
2.560143200,1,1
2.560151900,1,0
2.560160600,1,1
2.560169300,1,0
2.560186700,1,1
2.560238800,1,0
2.560264800,1,1
2.560282200,1,0
2.560290900,1,1
2.560299600,1,0
2.560308300,1,1
2.560325700,1,0
2.560334300,1,1
2.560369100,1,0
2.560386500,1,1
2.560395200,1,0
2.560403800,1,1
2.560412500,1,0
2.560447300,1,1
2.560464700,1,0
2.560473300,1,1
2.560499400,1,0
2.560516800,1,1
2.560525500,1,0
2.560542800,1,1
2.560568900,1,0
2.560577600,1,1
2.560586300,1,0
2.560595000,1,1
2.560603700,1,0
2.560621000,1,1
2.560629700,1,0
2.560638400,1,1
2.560647100,1,0
2.560664500,1,1
2.560673200,1,0
2.560690500,1,1
2.560716600,1,0
2.560751300,1,1
2.560760000,1,0
2.560777400,1,1
2.560794800,1,0
2.560812200,1,1
2.560829500,1,0
2.560838200,1,1
2.560846900,1,0
2.560855600,1,1
2.560881700,1,0
2.560890300,1,1
2.560899000,1,0
2.560916400,1,1
2.560933800,1,0
2.560942500,1,1
2.560977200,1,0
2.560985900,1,1
2.560994600,1,0
2.561012000,1,1
2.561020700,1,0
2.561029300,1,1
2.561038000,1,0
2.561055400,1,1
2.561064100,1,0
2.561081500,1,1
2.561107500,1,0
2.561116200,1,1
2.561151000,1,0
2.561159700,1,1
2.561168400,1,0
2.561185700,1,1
2.561194400,1,0
2.561203100,1,1
2.561211800,1,0
2.561237800,1,1
2.561246500,1,0
2.561272600,1,1
2.561281300,1,0
2.561342100,1,1
2.561350800,1,0
2.561359500,1,1
2.561368200,1,0
2.561411600,1,1
2.561420300,1,0
2.561429000,1,1
2.561455000,1,0
2.561463700,1,1
2.561472400,1,0
2.561498500,1,1
2.561507200,1,0
2.561515900,1,1
2.561541900,1,0
2.561550600,1,1
2.561559300,1,0
2.561585400,1,1
2.561594000,1,0
2.561602700,1,1
2.561611400,1,0
2.561620100,1,1
2.561628800,1,0
2.561637500,1,1
2.561646200,1,0
2.561654900,1,1
2.561680900,1,0
2.561698300,1,1
2.561715700,1,0
2.561724400,1,1
2.561733100,1,0
2.561741700,1,1
2.561759100,1,0
2.561785200,1,1
2.561802600,1,0
2.561819900,1,1
2.561828600,1,0
2.561846000,1,1
2.561889400,1,0
2.561924200,1,1
2.561932900,1,0
2.561950200,1,1
2.561958900,1,0
2.561967600,1,1
2.561976300,1,0
2.561985000,1,1
2.562011100,1,0
2.562028400,1,1
2.562045800,1,0
2.562054500,1,1
2.562063200,1,0
2.562080500,1,1
2.562089200,1,0
2.562097900,1,1
2.562115300,1,0
2.562141400,1,1
2.562150100,1,0
2.562158700,1,1
2.562167400,1,0
2.562176100,1,1
2.562236900,1,0
2.562254300,1,1
2.562263000,1,0
2.562271700,1,1
2.562280400,1,0
2.562289000,1,1
2.562323800,1,0
2.562341200,1,1
2.562358600,1,0
2.562375900,1,1
2.562384600,1,0
2.562402000,1,1
2.562410700,1,0
2.562462800,1,1
2.562471500,1,0
2.562488900,1,1
2.562497600,1,0
2.562523600,1,1
2.562532300,1,0
2.562549700,1,1
2.562567100,1,0
2.562575700,1,1
2.562584400,1,0
2.562593100,1,1
2.562601800,1,0
2.562645200,1,1
2.562671300,1,0
2.562688700,1,1
2.562732100,1,0
2.562749500,1,1
2.562758200,1,0
2.562766900,1,1
2.562775600,1,0
2.562810300,1,1
2.562819000,1,0
2.562827700,1,1
2.567747600,0,1
2.567773600,1,1
2.567782300,0,1
2.567791000,1,1
2.567799700,0,1
2.567808400,1,1
2.567817100,0,1
2.567825700,1,1
2.567834400,0,1
2.567843100,1,1
2.567851800,0,1
2.567912600,1,1
2.567921300,0,1
2.567930000,1,1
2.567938700,0,1
2.567999500,1,1
2.568014100,1,0
2.568022800,1,1
2.568048900,1,0
2.568057600,1,1
2.568066300,1,0
2.568074900,1,1
2.568083600,1,0
2.568092300,1,1
2.568101000,1,0
2.568109700,1,1
2.568127100,1,0
2.568135800,1,1
2.568144500,1,0
2.568161800,1,1
2.568170500,1,0
2.568179200,1,1
2.568187900,1,0
