Time [s],Channel 1,Channel 2
0.000000000,1,1
2.487603400,1,0
2.487620700,1,1
2.487638100,1,0
2.487646800,1,1
2.487655500,1,0
2.487664100,1,1
2.487672800,1,0
2.487681500,1,1
2.521657900,0,1
2.521666600,1,1
2.521692600,0,1
2.521701300,1,1
2.521710000,0,1
2.521718700,1,1
2.521727400,0,1
2.521736000,1,1
2.521744700,0,1
2.521753400,1,1
2.521770800,0,1
2.521788100,1,1
2.521796800,0,1
2.521822800,1,1
2.521831500,0,1
2.521848900,1,1
2.521857600,0,1
2.521892300,1,1
2.521901000,0,1
2.521909600,1,1
2.521918300,0,1
2.521927000,1,1
2.521935700,0,1
2.521944400,1,1
2.521953100,0,1
2.521961700,1,1
2.522005200,0,1
2.522013800,1,1
2.522039900,0,1
2.522074600,1,1
2.522092000,0,1
2.522100600,1,1
2.522118000,0,1
2.522126700,1,1
2.522135400,0,1
2.522152700,1,1
2.522161400,0,1
2.522170100,1,1
2.522178800,0,1
2.522196100,1,1
2.522204800,0,1
2.522213500,1,1
2.522222200,0,1
2.522248200,1,1
2.522265600,0,1
2.522274300,1,1
2.522283000,0,1
2.522291600,1,1
2.522300300,0,1
2.522317700,1,1
2.522326400,0,1
2.522343700,1,1
2.522352400,0,1
2.522361100,1,1
2.522369800,0,1
2.522395800,1,1
2.522439200,0,1
2.522456600,1,1
2.522465300,0,1
2.522508700,1,1
2.522526000,0,1
2.522534700,1,1
2.522552100,0,1
2.522560800,1,1
2.522569400,0,1
2.522604200,1,1
2.522612800,0,1
2.522621500,1,1
2.522630200,0,1
2.522638900,1,1
2.522647600,0,1
2.522691000,1,1
2.522699700,0,1
2.522717000,1,1
2.522734400,0,1
2.522743100,1,1
2.522760400,0,1
2.522769100,1,1
2.522786500,0,1
2.522795100,1,1
2.522803800,0,1
2.522821200,1,1
2.522838600,0,1
2.522864600,1,1
2.522873300,0,1
2.522890600,1,1
2.522908000,0,1
2.522916700,1,1
2.522925400,0,1
2.522934000,1,1
2.522960100,0,1
2.522968800,1,1
2.523003500,0,1
2.523029500,1,1
2.523046900,0,1
2.523072900,1,1
2.523133700,0,1
2.523151100,1,1
2.523168500,0,1
2.523185800,1,1
2.523194500,0,1
2.523203200,1,1
2.523220500,0,1
2.523237900,1,1
2.523246600,0,1
2.523281300,1,1
2.523307400,0,1
2.523324700,1,1
2.523359400,0,1
2.523385500,1,1
2.523394200,0,1
2.523420200,1,1
2.523428900,0,1
2.523454900,1,1
2.523463600,0,1
2.523472300,1,1
2.523481000,0,1
2.523498300,1,1
2.523515700,0,1
2.523533100,1,1
2.523567800,0,1
2.523576500,1,1
2.523593800,0,1
2.523619900,1,1
2.523628600,0,1
2.523645900,1,1
2.523654600,0,1
2.523663300,1,1
2.523680600,0,1
2.523706700,1,1
2.523715400,0,1
2.523724000,1,1
2.523741400,0,1
2.523750100,1,1
2.523776100,0,1
2.523784800,1,1
2.523793500,0,1
2.523802200,1,1
2.523828200,0,1
2.523836900,1,1
2.523845600,0,1
2.523871600,1,1
2.523880300,0,1
2.523889000,1,1
2.523897700,0,1
2.523906400,1,1
2.523915000,0,1
2.523932400,1,1
2.523941100,0,1
2.523958400,1,1
2.523984500,0,1
2.523993200,1,1
2.524001900,0,1
2.524010500,1,1
2.524019200,0,1
2.524036600,1,1
2.524045300,0,1
2.524053900,1,1
2.524062600,0,1
2.524071300,1,1
2.524088700,0,1
2.524097300,1,1
2.524132100,0,1
2.524166800,1,1
2.524175500,0,1
2.524184200,1,1
2.524218900,0,1
2.524227600,1,1
2.524262300,0,1
2.524297000,1,1
2.524305700,0,1
2.524314400,1,1
2.524323100,0,1
2.524340400,1,1
2.524349100,0,1
2.524375100,1,1
2.524392500,0,1
2.524401200,1,1
2.524435900,0,1
2.524444600,1,1
2.524496700,0,1
2.524505400,1,1
2.524522700,0,1
2.524540100,1,1
2.524548800,0,1
2.524557500,1,1
2.524592200,0,1
2.524600900,1,1
2.524609600,0,1
2.524618200,1,1
2.524626900,0,1
2.524687700,1,1
2.524696400,0,1
2.524705000,1,1
2.524783200,0,1
2.524791800,1,1
2.524809200,0,1
2.524835300,1,1
2.524843900,0,1
2.524861300,1,1
2.524870000,0,1
2.524887300,1,1
2.524896000,0,1
2.524922100,1,1
2.524930800,0,1
2.524948100,1,1
2.524956800,0,1
2.525008900,1,1
2.525026300,0,1
2.525034900,1,1
2.525043600,0,1
2.525052300,1,1
2.525061000,0,1
2.525078300,1,1
2.525095700,0,1
2.525113100,1,1
2.525130400,0,1
2.525139100,1,1
2.525165200,0,1
2.525173800,1,1
2.525199900,0,1
2.525208500,1,1
2.525217200,0,1
2.525225900,1,1
2.525243300,0,1
2.525260600,1,1
2.525286700,0,1
2.525295400,1,1
2.525304100,0,1
2.525321400,1,1
2.525356100,0,1
2.525364800,1,1
2.525373500,0,1
2.525382200,1,1
2.525390900,0,1
2.525425600,1,1
2.525434300,0,1
2.525460300,1,1
2.525477700,0,1
2.525495000,1,1
2.525521100,0,1
2.525538400,1,1
2.525547100,0,1
2.525555800,1,1
2.525564500,0,1
2.525590500,1,1
2.525634000,0,1
2.525642600,1,1
2.525651300,0,1
2.525660000,1,1
2.525668700,0,1
2.525677300,1,1
2.525712100,0,1
2.525720800,1,1
2.525738100,0,1
2.525764200,1,1
2.525772900,0,1
2.525790200,1,1
2.525807600,0,1
2.525816200,1,1
2.525824900,0,1
2.525868300,1,1
2.525885700,0,1
2.525894400,1,1
2.525911800,0,1
2.525929100,1,1
2.525946500,0,1
2.525955100,1,1
2.525972500,0,1
2.525989900,1,1
2.525998600,0,1
2.526007200,1,1
2.526015900,0,1
2.526024600,1,1
2.526059300,0,1
2.526076700,1,1
2.526085400,0,1
2.526102700,1,1
2.526111400,0,1
2.526128800,1,1
2.526146100,0,1
2.526163500,1,1
2.526172200,0,1
2.526189500,1,1
2.526198200,0,1
2.526215600,1,1
2.526224300,0,1
2.526241600,1,1
2.526259000,0,1
2.526267700,1,1
2.526285000,0,1
2.526311100,1,1
2.526345800,0,1
2.526363200,1,1
2.526371900,0,1
2.526380500,1,1
2.526389200,0,1
2.526406600,1,1
2.526432600,0,1
2.526441300,1,1
2.526502100,0,1
2.526510700,1,1
2.526519400,0,1
2.526528100,1,1
2.526554200,0,1
2.526571500,1,1
2.526606300,0,1
2.526649600,1,1
2.526693100,0,1
2.526701700,1,1
2.526719100,0,1
2.526727800,1,1
2.526745200,0,1
2.526771200,1,1
2.526779900,0,1
2.526788600,1,1
2.526805900,0,1
2.526823300,1,1
2.526866700,0,1
2.526901400,1,1
2.526918800,0,1
2.526944800,1,1
2.526953500,0,1
2.526962200,1,1
2.526970900,0,1
2.526979500,1,1
2.527014300,0,1
2.527023000,1,1
2.527040300,0,1
2.527049000,1,1
2.527066400,0,1
2.527083700,1,1
2.527092400,0,1
2.527101100,1,1
2.527127100,0,1
2.527144500,1,1
2.527161900,0,1
2.527170500,1,1
2.527179200,0,1
2.527187900,1,1
2.527196600,0,1
2.527205300,1,1
2.527214000,0,1
2.527222600,1,1
2.527231300,0,1
2.527248700,1,1
2.527266000,0,1
2.527283400,1,1
2.905956600,1,0
2.905991300,1,1
2.906008700,1,0
2.906017300,1,1
2.906026000,1,0
2.906034700,1,1
2.906043400,1,0
2.906069400,1,1
2.906078100,1,0
2.906086800,1,1
2.906095500,1,0
2.906104200,1,1
2.906130200,1,0
2.906138900,1,1
2.906147600,1,0
2.906156200,1,1
2.906164900,1,0
2.906191000,1,1
2.906217000,1,0
2.906225700,1,1
2.906234400,1,0
2.906243100,1,1
2.906251700,1,0
2.906295100,1,1
2.906303800,1,0
2.906321200,1,1
2.906338600,1,0
2.906355900,1,1
2.906373300,1,0
2.906382000,1,1
2.906390600,1,0
2.906416700,1,1
2.906425400,1,0
2.906442700,1,1
2.906477500,1,0
2.906486100,1,1
2.906494800,1,0
2.906503500,1,1
2.906512200,1,0
2.906520900,1,1
2.906529500,1,0
2.906538200,1,1
2.906564300,1,0
2.906573000,1,1
2.906581600,1,0
2.906607700,1,1
2.906616400,1,0
2.906625000,1,1
2.906651100,1,0
2.906659800,1,1
2.906677100,1,0
2.906685800,1,1
2.906694500,1,0
2.906703200,1,1
2.906711900,1,0
2.906729200,1,1
2.906737900,1,0
2.906763900,1,1
2.906824700,1,0
2.906842100,1,1
2.906850800,1,0
2.906868100,1,1
2.906885500,1,0
2.906902800,1,1
2.906911500,1,0
2.906920200,1,1
2.906928900,1,0
2.906954900,1,1
2.906963600,1,0
2.906972300,1,1
2.906998300,1,0
2.907024400,1,1
2.907067800,1,0
2.907076500,1,1
2.907085200,1,0
2.907093800,1,1
2.907102500,1,0
2.907119900,1,1
2.907137200,1,0
2.907145900,1,1
2.907154600,1,0
2.907163300,1,1
2.907172000,1,0
2.907189300,1,1
2.907232700,1,0
2.907250100,1,1
2.907258800,1,0
2.907267500,1,1
2.907276100,1,0
2.907302200,1,1
2.907319600,1,0
2.907328200,1,1
2.907345600,1,0
2.907362900,1,1
2.907380300,1,0
2.907397700,1,1
2.907406400,1,0
2.907423700,1,1
2.907432400,1,0
2.907449800,1,1
2.907458500,1,0
2.907467100,1,1
2.907484500,1,0
2.907493200,1,1
2.907501900,1,0
2.907510500,1,1
2.907519200,1,0
2.907527900,1,1
2.907545300,1,0
2.907571300,1,1
2.907580000,1,0
2.907588700,1,1
2.907606000,1,0
2.907614700,1,1
2.907658100,1,0
2.907666800,1,1
2.907675500,1,0
2.907684200,1,1
2.907692800,1,0
2.907701500,1,1
2.907710200,1,0
2.907718900,1,1
2.907744900,1,0
2.907753600,1,1
2.907762300,1,0
2.907771000,1,1
2.907779700,1,0
2.907823100,1,1
2.907831700,1,0
2.907840400,1,1
2.907849100,1,0
2.907857800,1,1
2.907866500,1,0
2.907875100,1,1
2.907883800,1,0
2.907901200,1,1
2.907918600,1,0
2.907944600,1,1
2.907953300,1,0
2.907996700,1,1
2.908005400,1,0
2.908031400,1,1
2.908040100,1,0
2.908057400,1,1
2.908074800,1,0
2.908083500,1,1
2.908126900,1,0
2.908144300,1,1
2.908161600,1,0
2.908170300,1,1
2.908179000,1,0
2.908196300,1,1
2.908213700,1,0
2.908231100,1,1
2.908257100,1,0
2.908265800,1,1
2.908274500,1,0
2.908283200,1,1
2.908300500,1,0
2.908309200,1,1
2.908317900,1,0
2.908335200,1,1
2.908343900,1,0
2.908361300,1,1
2.908387300,1,0
2.908396000,1,1
2.908404700,1,0
2.908430700,1,1
2.908439400,1,0
2.908448100,1,1
2.908456800,1,0
2.908465500,1,1
2.908474200,1,0
2.908526200,1,1
2.908561000,1,0
2.908595700,1,1
2.908621700,1,0
2.908639100,1,1
2.908647800,1,0
2.908656500,1,1
2.908665100,1,0
2.908673800,1,1
2.908682500,1,0
2.908691200,1,1
2.908699900,1,0
2.908717200,1,1
2.908734600,1,0
2.908743300,1,1
2.908760600,1,0
2.908769300,1,1
2.908778000,1,0
2.908786700,1,1
2.908821400,1,0
2.908873500,1,1
2.908882200,1,0
2.908899500,1,1
2.908908200,1,0
2.908925600,1,1
2.908942900,1,0
2.908951600,1,1
2.908960300,1,0
2.908977700,1,1
2.908995000,1,0
2.909003700,1,1
2.909029800,1,0
2.909047100,1,1
2.909055800,1,0
2.909064500,1,1
2.909081900,1,0
2.909090500,1,1
2.909125300,1,0
2.909133900,1,1
2.909142600,1,0
2.909151300,1,1
2.909168700,1,0
2.909194700,1,1
2.909203400,1,0
2.909220700,1,1
2.909229400,1,0
2.909238100,1,1
2.909255500,1,0
2.909281500,1,1
2.909342300,1,0
2.909359600,1,1
2.909368300,1,0
2.909385700,1,1
2.909403100,1,0
2.909411700,1,1
2.909429100,1,0
2.909437800,1,1
2.909446500,1,0
2.909455100,1,1
2.909515900,1,0
2.909524600,1,1
2.909550600,1,0
2.909568000,1,1
2.909576700,1,0
2.909594000,1,1
2.909602700,1,0
2.909611400,1,1
2.909620100,1,0
2.909628800,1,1
2.909663500,1,0
2.909672200,1,1
2.909689500,1,0
2.909698200,1,1
2.909715600,1,0
2.909741600,1,1
2.909750300,1,0
2.909767700,1,1
2.909776400,1,0
2.909793700,1,1
2.909802400,1,0
2.909828400,1,1
2.909863200,1,0
2.909871800,1,1
2.909897900,1,0
2.909906600,1,1
2.909950000,1,0
2.910002100,1,1
2.910036800,1,0
2.910062800,1,1
2.910071500,1,0
2.910097600,1,1
2.910106200,1,0
2.910114900,1,1
2.910123600,1,0
2.910141000,1,1
2.910167000,1,0
2.910193000,1,1
2.910210400,1,0
2.910236500,1,1
2.910253800,1,0
2.910271200,1,1
2.910297200,1,0
2.910314600,1,1
2.910340600,1,0
2.910349300,1,1
2.910384000,1,0
2.910392700,1,1
2.910401400,1,0
2.910427400,1,1
2.910453500,1,0
2.910462200,1,1
2.910470900,1,0
2.910514300,1,1
2.910531600,1,0
2.910549000,1,1
2.910557700,1,0
2.910566300,1,1
2.910609800,1,0
2.910618400,1,1
2.910644500,1,0
2.910653200,1,1
2.910661800,1,0
2.910670500,1,1
2.910687900,1,0
2.910696600,1,1
2.910705300,1,0
2.910722600,1,1
2.910731300,1,0
2.910740000,1,1
2.910748700,1,0
2.910757300,1,1
2.910774700,1,0
2.910783400,1,1
2.910792100,1,0
2.910800700,1,1
2.910818100,1,0
2.910826800,1,1
2.910835500,1,0
2.910844100,1,1
2.910887600,1,0
2.910896200,1,1
2.910904900,1,0
2.910913600,1,1
2.910922300,1,0
2.910931000,1,1
2.910939600,1,0
2.910948300,1,1
2.910957000,1,0
2.910965700,1,1
2.910974400,1,0
2.910983000,1,1
2.910991700,1,0
2.911000400,1,1
2.911009100,1,0
2.911026400,1,1
2.911061200,1,0
2.911069900,1,1
2.911078500,1,0
2.911095900,1,1
2.911104600,1,0
2.911113300,1,1
2.911148000,1,0
2.911156700,1,1
2.911165400,1,0
2.911191400,1,1
2.911208800,1,0
2.911226100,1,1
2.911234800,1,0
2.911243500,1,1
2.911252200,1,0
2.911260900,1,1
2.911269500,1,0
2.911304300,1,1
2.911312900,1,0
2.911321600,1,1
2.911339000,1,0
2.911347700,1,1
2.911365000,1,0
2.911382400,1,1
2.911399800,1,0
2.911408400,1,1
2.911425800,1,0
2.911443200,1,1
2.911451800,1,0
2.911477900,1,1
2.911495300,1,0
2.911503900,1,1
2.911512600,1,0
2.911538700,1,1
2.911547300,1,0
2.911556000,1,1
2.911582100,1,0
2.911590700,1,1
2.911599400,1,0
2.911608100,1,1
2.911686200,1,0
2.911694900,1,1
2.911773100,1,0
2.911781700,1,1
2.911859900,1,0
2.911868500,1,1
2.911946700,1,0
2.911955400,1,1
2.912033500,1,0
2.912042200,1,1
2.912120300,1,0
2.912129000,1,1
2.912207100,1,0
2.912215800,1,1
2.912293900,1,0
2.912302600,1,1
2.912380700,1,0
2.912389400,1,1
2.912467600,1,0
2.912476200,1,1
2.912554400,1,0
2.912563000,1,1
2.912641200,1,0
2.912649900,1,1
2.912728000,1,0
2.912736700,1,1
2.912814800,1,0
2.912823500,1,1
2.912901600,1,0
2.912910300,1,1
2.912988400,1,0
2.912997100,1,1
2.913075200,1,0
2.913083900,1,1
2.913162100,1,0
2.913170700,1,1
2.913248900,1,0
2.913257500,1,1
2.913335700,1,0
2.913344400,1,1
2.913422500,1,0
2.913431200,1,1
2.913509300,1,0
2.913518000,1,1
2.913596100,1,0
2.913604800,1,1
2.913682900,1,0
2.913691600,1,1
2.913769700,1,0
2.913778400,1,1
2.913856600,1,0
2.913865200,1,1
2.913943400,1,0
2.913952100,1,1
2.914030200,1,0
2.914038900,1,1
2.914117000,1,0
2.914125700,1,1
2.914203800,1,0
2.914212500,1,1
2.914290600,1,0
2.914299300,1,1
2.914377400,1,0
2.914386100,1,1
2.914464300,1,0
2.914472900,1,1
2.914551100,1,0
2.914559700,1,1
2.914637900,1,0
2.914646600,1,1
2.914724700,1,0
2.914733400,1,1
2.914811500,1,0
2.914820200,1,1
2.914898300,1,0
2.914907000,1,1
2.914985100,1,0
2.914993800,1,1
2.915071900,1,0
2.915080600,1,1
2.915158800,1,0
2.915167400,1,1
2.915245600,1,0
2.915254200,1,1
2.915332400,1,0
2.915341100,1,1
2.915419200,1,0
2.915427900,1,1
2.915506000,1,0
2.915514700,1,1
2.915592800,1,0
2.915601500,1,1
2.915679600,1,0
2.915688300,1,1
2.915766400,1,0
2.915775100,1,1
2.915853300,1,0
2.915861900,1,1
2.915940100,1,0
2.915948700,1,1
2.916026900,1,0
2.916035600,1,1
2.916113700,1,0
2.916122400,1,1
2.916200500,1,0
2.916209200,1,1
2.916287300,1,0
2.916296000,1,1
2.916374100,1,0
2.916382800,1,1
2.916461000,1,0
2.916469600,1,1
2.916547800,1,0
2.916556400,1,1
2.916634600,1,0
2.916643300,1,1
2.916721400,1,0
2.916730100,1,1
2.916808200,1,0
2.916816900,1,1
2.916895000,1,0
2.916903700,1,1
2.916981800,1,0
2.916990500,1,1
2.917068600,1,0
2.917077300,1,1
2.917155500,1,0
2.917164100,1,1
2.917242300,1,0
2.917250900,1,1
2.917329100,1,0
2.917337800,1,1
2.917415900,1,0
2.917424600,1,1
2.917502700,1,0
2.917511400,1,1
2.917589500,1,0
2.917598200,1,1
2.917676300,1,0
2.917685000,1,1
2.917763100,1,0
2.917771800,1,1
2.917850000,1,0
2.917858600,1,1
2.917936800,1,0
2.917945400,1,1
2.918023600,1,0
2.918032300,1,1
2.918110400,1,0
2.918119100,1,1
2.918197200,1,0
2.918205900,1,1
2.918284000,1,0
2.918292700,1,1
2.918370800,1,0
2.918379500,1,1
