Time [s],Channel 1,Channel 2
0.000000000,1,1
2.570821400,1,0
2.570830100,1,1
2.570838800,1,0
2.570847400,1,1
2.570856100,1,0
2.570864800,1,1
2.570873500,1,0
2.570882200,1,1
2.570890900,1,0
2.570899600,1,1
2.570908300,1,0
2.570986400,1,1
2.570995100,1,0
2.571073300,1,1
2.571837300,1,0
2.571915400,1,1
2.572848300,1,0
2.572926500,1,1
2.573858800,1,0
2.573936900,1,1
2.574869200,1,0
2.574947400,1,1
2.575879700,1,0
2.575957900,1,1
2.576890200,1,0
2.576968300,1,1
2.577900700,1,0
2.577978800,1,1
2.578911700,1,0
2.578989800,1,1
2.579922100,1,0
2.580000300,1,1
2.580932600,1,0
2.581010800,1,1
2.581943100,1,0
2.582021200,1,1
2.582953600,1,0
2.583031700,1,1
2.583964600,1,0
2.584042700,1,1
2.584975000,1,0
2.585053200,1,1
2.585985500,1,0
2.586063700,1,1
2.586996000,1,0
2.587074100,1,1
2.588006500,1,0
2.588084600,1,1
2.589016900,1,0
2.589095100,1,1
2.590027900,1,0
2.590106100,1,1
2.591038400,1,0
2.591116600,1,1
2.592048800,1,0
2.592127000,1,1
2.593059300,1,0
2.593137500,1,1
2.594069800,1,0
2.594148000,1,1
2.595080800,1,0
2.595159000,1,1
2.596091200,1,0
2.596169400,1,1
2.597101700,1,0
2.597179900,1,1
2.598112200,1,0
2.598190400,1,1
2.599122700,1,0
2.599200900,1,1
2.600133100,1,0
2.600211300,1,1
2.601144100,1,0
2.601222300,1,1
2.602154600,1,0
2.602232800,1,1
2.603165100,1,0
2.603243300,1,1
2.604175600,1,0
2.604253800,1,1
2.605186000,1,0
2.605264200,1,1
2.606197000,1,0
2.606275200,1,1
2.607207500,1,0
2.607285700,1,1
2.608218000,1,0
2.608296200,1,1
2.609228400,1,0
2.609306600,1,1
2.610238900,1,0
2.610317100,1,1
2.611249400,1,0
2.611327500,1,1
2.612260400,1,0
2.612338600,1,1
2.613270900,1,0
2.613349100,1,1
2.614281300,1,0
2.614359500,1,1
2.615291800,1,0
2.615370000,1,1
2.616302300,1,0
2.616380400,1,1
2.617312800,1,0
2.617391000,1,1
2.618323800,1,0
2.618402000,1,1
2.619334200,1,0
2.619412400,1,1
2.620344700,1,0
2.620422900,1,1
2.621355200,1,0
2.621433300,1,1
2.622365700,1,0
2.622443800,1,1
2.623376700,1,0
2.623454900,1,1
2.624387100,1,0
2.624465300,1,1
2.625397600,1,0
2.625475800,1,1
2.626408100,1,0
2.626486200,1,1
2.627418500,1,0
2.627496700,1,1
2.628429000,1,0
2.628507200,1,1
2.629440000,1,0
2.629518200,1,1
2.630450500,1,0
2.630528600,1,1
2.631461000,1,0
2.631539100,1,1
2.632471400,1,0
2.632549600,1,1
2.633481900,1,0
2.633560100,1,1
2.634492900,1,0
2.634571100,1,1
2.635503400,1,0
2.635581500,1,1
2.636513900,1,0
2.636592000,1,1
2.637524300,1,0
2.637602500,1,1
2.638534800,1,0
2.638613000,1,1
2.639545200,1,0
2.639623400,1,1
2.640556300,1,0
2.640634400,1,1
2.641566800,1,0
2.641644900,1,1
2.642577200,1,0
2.642655400,1,1
2.643587600,1,0
2.643665800,1,1
2.644598100,1,0
2.644676300,1,1
2.645609100,1,0
2.645687300,1,1
2.646619600,1,0
2.646697800,1,1
2.647630100,1,0
2.647708300,1,1
2.648640500,1,0
2.648718700,1,1
2.655948000,0,1
2.655956700,1,1
2.655974100,0,1
2.656008800,1,1
2.656017500,0,1
2.656026200,1,1
2.656034900,0,1
2.656078300,1,1
2.656095700,0,1
2.656113100,1,1
2.656121800,0,1
2.656130400,1,1
2.656191300,0,1
2.656199900,1,1
2.656963900,0,1
2.656989900,1,1
2.656998600,0,1
2.657024700,1,1
2.657974900,0,1
2.657992300,1,1
2.658027000,0,1
2.658053100,1,1
2.658985300,0,1
2.659011400,1,1
2.659020100,0,1
2.659037500,1,1
2.659046200,0,1
2.659063500,1,1
2.659996400,0,1
2.660013800,1,1
2.660031200,0,1
2.660039800,1,1
2.660048500,0,1
2.660057200,1,1
2.661006900,0,1
2.661032900,1,1
2.661050300,0,1
2.661059000,1,1
2.661076400,0,1
2.661085000,1,1
2.662017900,0,1
2.662035200,1,1
2.662052600,0,1
2.662078700,1,1
2.662087400,0,1
2.662096000,1,1
2.663028400,0,1
2.663045700,1,1
2.663080500,0,1
2.663097900,1,1
2.664039400,0,1
2.664048100,1,1
2.664082800,0,1
2.664091500,1,1
2.664100200,0,1
2.664117600,1,1
2.665049800,0,1
2.665067200,1,1
2.665075900,0,1
2.665084600,1,1
2.665102000,0,1
2.665110600,1,1
2.665119300,0,1
2.665128000,1,1
2.666060800,0,1
2.666069500,1,1
2.666086900,0,1
2.666095600,1,1
2.666104300,0,1
2.666113000,1,1
2.666121600,0,1
2.666139000,1,1
2.667071300,0,1
2.667080000,1,1
2.667088700,0,1
2.667106100,1,1
2.667114800,0,1
2.667132100,1,1
2.667140800,0,1
2.667149500,1,1
2.668082400,0,1
2.668091000,1,1
2.668108400,0,1
2.668117100,1,1
2.668134500,0,1
2.668143200,1,1
2.668151900,0,1
2.668160500,1,1
2.669093400,0,1
2.669128100,1,1
2.669136800,0,1
2.669154200,1,1
2.669162900,0,1
2.669171500,1,1
2.670103800,0,1
2.670138500,1,1
2.670147200,0,1
2.670164600,1,1
2.670173300,0,1
2.670182000,1,1
2.671114900,0,1
2.671132200,1,1
2.671140900,0,1
2.671193100,1,1
2.672125300,0,1
2.672142700,1,1
2.672168800,0,1
2.672177400,1,1
2.673136300,0,1
2.673153700,1,1
2.673171100,0,1
2.673188400,1,1
2.673197100,0,1
2.673214500,1,1
2.674146800,0,1
2.674172900,1,1
2.674190300,0,1
2.674207600,1,1
