Time [s],Channel 1,Channel 2
0.000000000,1,1
2.553745200,1,0
2.553762500,1,1
2.553779900,1,0
2.553788600,1,1
2.553797200,1,0
2.553805900,1,1
2.553814600,1,0
2.553823300,1,1
2.553832000,1,0
2.553849300,1,1
2.553866700,1,0
2.553910100,1,1
2.553918800,1,0
2.553927500,1,1
2.553936100,1,0
2.553944800,1,1
2.553953500,1,0
2.553962200,1,1
2.553970900,1,0
2.553979600,1,1
2.553988200,1,0
2.553996900,1,1
2.554005600,1,0
2.554023000,1,1
2.554049000,1,0
2.554057700,1,1
2.554075000,1,0
2.554083700,1,1
2.554092400,1,0
2.554118500,1,1
2.554135800,1,0
2.554144500,1,1
2.554161900,1,0
2.554170500,1,1
2.554179200,1,0
2.554187900,1,1
2.554222600,1,0
2.554231300,1,1
2.554248700,1,0
2.554257400,1,1
2.554266000,1,0
2.554274700,1,1
2.554292100,1,0
2.554318100,1,1
2.554335500,1,0
2.554344200,1,1
2.554352900,1,0
2.554361500,1,1
2.554378900,1,0
2.554387600,1,1
2.554396300,1,0
2.554404900,1,1
2.554422300,1,0
2.554431000,1,1
2.554439800,0,1
2.554465800,1,1
2.554474500,0,1
2.554483200,1,1
2.554491900,0,1
2.554500500,1,1
2.554509200,0,1
2.554517900,1,1
2.554526600,0,1
2.554535200,1,1
2.554543900,0,1
2.554604700,1,1
2.554613400,0,1
2.554622100,1,1
2.554630800,0,1
2.554691500,1,1
2.555379500,0,1
2.555396900,1,1
2.555405600,0,1
2.555414200,1,1
2.555431600,0,1
2.555440300,1,1
2.555449000,0,1
2.555457600,1,1
2.555466300,0,1
2.555483700,1,1
2.555509700,0,1
2.555527100,1,1
2.555535800,0,1
2.555544500,1,1
2.555553100,0,1
2.555579200,1,1
2.555587900,0,1
2.555631300,1,1
2.555639900,0,1
2.555648600,1,1
2.555657300,0,1
2.555666000,1,1
2.555683400,0,1
2.555709400,1,1
2.555726800,0,1
2.555752800,1,1
2.555778900,0,1
2.555787500,1,1
2.555813600,0,1
2.555839600,1,1
2.555857000,0,1
2.555874300,1,1
2.555883000,0,1
2.555891700,1,1
2.555900400,0,1
2.555909100,1,1
2.555917800,0,1
2.555926400,1,1
2.555952500,0,1
2.555961200,1,1
2.555987200,0,1
2.556004600,1,1
2.556056700,0,1
2.556065300,1,1
2.556074000,0,1
2.556082700,1,1
2.556091400,0,1
2.556100100,1,1
2.556108700,0,1
2.556134800,1,1
2.556160800,0,1
2.556169500,1,1
2.556186900,0,1
2.556195500,1,1
2.556212900,0,1
2.556239000,1,1
2.556247600,0,1
2.556256300,1,1
2.556273700,0,1
2.556282400,1,1
2.556317100,0,1
2.556325800,1,1
2.556334500,0,1
2.556343100,1,1
2.556377900,0,1
2.556386500,1,1
2.556421300,0,1
2.556429900,1,1
2.556456000,0,1
2.556464700,1,1
2.556508100,0,1
2.556516800,1,1
2.556525400,0,1
2.556542800,1,1
2.556560200,0,1
2.556568800,1,1
2.556594900,0,1
2.556603600,1,1
2.556638300,0,1
2.556673000,1,1
2.556681700,0,1
2.556690400,1,1
2.556699100,0,1
2.556716400,1,1
2.556733800,0,1
2.556751100,1,1
2.556768500,0,1
2.556777200,1,1
2.556811900,0,1
2.556820600,1,1
2.556829300,0,1
2.556838000,1,1
2.556855300,0,1
2.556864000,1,1
2.556890100,0,1
2.556898700,1,1
2.556924800,0,1
2.556933500,1,1
2.556942100,0,1
2.556950800,1,1
2.556976900,0,1
2.556994200,1,1
2.557029000,0,1
2.557037600,1,1
2.557063700,0,1
2.557107100,1,1
2.557115800,0,1
2.557133100,1,1
2.557141800,0,1
