Time [s],Channel 1,Channel 2
0.000000000,1,1
2.585579400,1,0
2.585588100,1,1
2.585596800,1,0
2.585605500,1,1
2.585614200,1,0
2.585622800,1,1
2.585631500,1,0
2.585640200,1,1
2.585648900,1,0
2.585657500,1,1
2.585666200,1,0
2.585709600,1,1
2.831382000,0,1
2.831390700,1,1
2.831408100,0,1
2.831425400,1,1
2.831442800,0,1
2.831451500,1,1
2.831468800,0,1
2.831477500,1,1
2.831529600,0,1
2.831547000,1,1
2.831555700,0,1
2.831581700,1,1
2.831599100,0,1
2.831607700,1,1
2.831642500,0,1
2.831651100,1,1
2.831659800,0,1
2.831668500,1,1
2.831677200,0,1
2.831685900,1,1
2.831694600,0,1
2.831703200,1,1
2.831711900,0,1
2.831720600,1,1
2.831729300,0,1
2.831746600,1,1
2.831755300,0,1
2.831781400,1,1
2.831790000,0,1
2.831807400,1,1
2.831816100,0,1
2.831833400,1,1
2.831850800,0,1
2.831859500,1,1
2.831876900,0,1
2.831894200,1,1
2.831902900,0,1
2.831920300,1,1
2.831928900,0,1
2.831946300,1,1
2.831963700,0,1
2.831972300,1,1
2.831989700,0,1
2.831998400,1,1
2.832015800,0,1
2.832024400,1,1
2.832050500,0,1
2.832059200,1,1
2.832076500,0,1
2.832111200,1,1
2.832128600,0,1
2.832146000,1,1
2.832163300,0,1
2.832172000,1,1
2.832189400,0,1
2.832198100,1,1
2.832206700,0,1
2.832232800,1,1
2.832250200,0,1
2.832267500,1,1
2.832310900,0,1
2.832319600,1,1
2.832337000,0,1
2.832363000,1,1
2.832380400,0,1
2.832406400,1,1
2.832423800,0,1
2.832441100,1,1
2.832449800,0,1
2.832458500,1,1
2.832510600,0,1
2.832527900,1,1
2.832536600,0,1
2.832571300,1,1
2.832580000,0,1
2.832588700,1,1
2.832597400,0,1
2.832606100,1,1
2.832623400,0,1
2.832632100,1,1
2.832640800,0,1
2.832658200,1,1
2.832666900,0,1
2.832675500,1,1
2.832684200,0,1
2.832692900,1,1
2.832701600,0,1
2.832718900,1,1
2.832771000,0,1
2.832788400,1,1
2.832797100,0,1
2.832823100,1,1
2.832831800,0,1
2.832840500,1,1
2.832857800,0,1
2.832866500,1,1
2.832875200,0,1
2.832883900,1,1
2.832901200,0,1
2.832909900,1,1
2.832927300,0,1
2.832936000,1,1
2.832944700,0,1
2.832953300,1,1
2.833031500,0,1
2.833040100,1,1
2.833092200,0,1
2.833109600,1,1
2.833118300,0,1
2.833127000,1,1
2.833135700,0,1
2.833153000,1,1
2.833161700,0,1
2.833170400,1,1
2.833179100,0,1
2.833196400,1,1
2.833205100,0,1
2.833222500,1,1
2.833239800,0,1
2.833248500,1,1
2.833265900,0,1
2.833283200,1,1
2.833291900,0,1
2.833300600,1,1
2.833309300,0,1
2.833335300,1,1
2.833344000,0,1
2.833370000,1,1
2.833378700,0,1
2.833404800,1,1
2.833413500,0,1
2.833439500,1,1
2.833448200,0,1
2.833456800,1,1
2.833465500,0,1
2.833474200,1,1
2.833482900,0,1
2.833491600,1,1
2.833500300,0,1
2.833508900,1,1
2.833517600,0,1
2.833535000,1,1
2.833552400,0,1
2.833561000,1,1
2.833578400,0,1
2.833587100,1,1
2.833613100,0,1
2.833621800,1,1
2.833639200,0,1
2.833647800,1,1
2.833656500,0,1
2.833665200,1,1
2.833673900,0,1
2.833691200,1,1
2.833708600,0,1
2.833717300,1,1
2.833726000,0,1
2.833734600,1,1
2.833743300,0,1
2.833769400,1,1
2.833778100,0,1
2.833795400,1,1
2.833812800,0,1
2.833821500,1,1
2.833830200,0,1
2.833838800,1,1
2.833847500,0,1
2.833856200,1,1
2.833882200,0,1
2.833890900,1,1
2.833899600,0,1
2.833908300,1,1
2.833917000,0,1
2.833925600,1,1
2.833943000,0,1
2.833977700,1,1
2.833986400,0,1
2.833995100,1,1
2.834021100,0,1
2.834029800,1,1
2.834073200,0,1
2.834081900,1,1
2.834099300,0,1
2.834107900,1,1
2.834116600,0,1
2.834125300,1,1
2.834142700,0,1
2.834151300,1,1
2.834160000,0,1
2.834229500,1,1
2.834246900,0,1
2.834255500,1,1
2.834264200,0,1
2.834290200,1,1
2.834307600,0,1
2.834325000,1,1
2.834333700,0,1
2.834342300,1,1
2.834351000,0,1
2.834359700,1,1
2.834368400,0,1
2.834377100,1,1
2.834385800,0,1
2.834403100,1,1
2.834420500,0,1
2.834446500,1,1
2.834455200,0,1
2.834463900,1,1
2.834481200,0,1
2.834489900,1,1
2.834507300,0,1
2.834559400,1,1
2.834568100,0,1
2.834576700,1,1
2.834594100,0,1
2.834611500,1,1
2.834620200,0,1
2.834628800,1,1
2.834637500,0,1
2.834654900,1,1
2.834663600,0,1
2.834672200,1,1
2.834680900,0,1
2.834689600,1,1
2.834724300,0,1
2.834741700,1,1
2.834767700,0,1
2.834776400,1,1
2.834785100,0,1
2.834837200,1,1
2.834854600,0,1
2.834863200,1,1
2.834871900,0,1
2.834880600,1,1
2.834889300,0,1
2.834897900,1,1
2.834915300,0,1
2.834924000,1,1
2.834941400,0,1
2.834976100,1,1
2.834984800,0,1
2.835019500,1,1
2.835028200,0,1
2.835036800,1,1
2.835054200,0,1
2.835062900,1,1
2.835115000,0,1
2.835123700,1,1
2.835141000,0,1
2.835149700,1,1
2.835175800,0,1
2.835184400,1,1
2.835201800,0,1
2.835219200,1,1
2.835227800,0,1
2.835279900,1,1
2.835288600,0,1
2.835297300,1,1
2.835323300,0,1
2.835349400,1,1
2.835358100,0,1
2.835366700,1,1
2.835375400,0,1
2.835384100,1,1
2.835410200,0,1
2.835418800,1,1
2.835427500,0,1
2.835453500,1,1
2.835462200,0,1
2.835488300,1,1
2.835497000,0,1
2.835514300,1,1
2.835523000,0,1
2.835531700,1,1
2.835549100,0,1
2.835575100,1,1
2.835592500,0,1
2.835627200,1,1
2.835635900,0,1
2.835644500,1,1
2.835653200,0,1
2.835661900,1,1
2.835688000,0,1
2.835705300,1,1
2.835722700,0,1
2.835731300,1,1
2.835748700,0,1
2.835757400,1,1
2.835766100,0,1
2.835774800,1,1
2.835783400,0,1
2.835800800,1,1
2.835809500,0,1
2.835818200,1,1
2.835844200,0,1
2.835861600,1,1
2.835870300,0,1
2.835878900,1,1
2.835896300,0,1
2.835913700,1,1
2.835948400,0,1
2.835965800,1,1
2.835983100,0,1
2.836000500,1,1
2.836017800,0,1
2.836043900,1,1
2.836052600,0,1
2.836061200,1,1
2.836069900,0,1
2.836096000,1,1
2.836113300,0,1
2.836122000,1,1
2.836156700,0,1
2.836165400,1,1
2.836174100,0,1
2.836200100,1,1
2.836217500,0,1
2.836234900,1,1
2.836243600,0,1
2.836252200,1,1
2.836269600,0,1
2.836278300,1,1
2.836287000,0,1
2.836295600,1,1
2.836304300,0,1
2.836321700,1,1
2.836330400,0,1
2.836356400,1,1
2.836391100,0,1
2.836399800,1,1
2.836417200,0,1
2.836434500,1,1
2.836451900,0,1
2.836469300,1,1
2.836478000,0,1
2.836486600,1,1
2.836504000,0,1
2.836521400,1,1
2.836530000,0,1
2.836538700,1,1
2.836556100,0,1
2.836573400,1,1
2.836590800,0,1
2.836616800,1,1
2.836642900,0,1
2.836660300,1,1
2.836677600,0,1
2.836695000,1,1
2.836712400,0,1
2.836721000,1,1
2.836738400,0,1
2.836755700,1,1
2.836764400,0,1
2.836773100,1,1
2.836781800,0,1
2.836790500,1,1
2.836799200,0,1
2.836807800,1,1
2.836816500,0,1
2.836825200,1,1
2.836833900,0,1
2.836842600,1,1
2.836851300,0,1
2.836868600,1,1
2.836886000,0,1
2.836894600,1,1
2.836903300,0,1
2.836912000,1,1
2.836938100,0,1
2.836946700,1,1
2.836955400,0,1
2.837016200,1,1
2.837024900,0,1
2.837059600,1,1
2.837068300,0,1
2.837077000,1,1
2.837111700,0,1
2.837120400,1,1
2.837129100,0,1
2.837137700,1,1
2.837146400,0,1
2.837155100,1,1
2.837163800,0,1
2.837181100,1,1
2.837198500,0,1
2.837215900,1,1
2.837241900,0,1
2.837250600,1,1
2.837268000,0,1
2.837276600,1,1
2.837285300,0,1
2.837302700,1,1
2.837320000,0,1
2.837328700,1,1
2.837372100,0,1
2.837380800,1,1
2.837389500,0,1
2.837424200,1,1
2.837432900,0,1
2.837441600,1,1
2.837458900,0,1
2.837493700,1,1
2.837528400,0,1
2.837537100,1,1
2.837545800,0,1
2.837563100,1,1
2.837597800,0,1
2.837606500,1,1
2.837615200,0,1
