Time [s],Channel 1,Channel 2
0.000000000,1,1
2.443796800,1,0
2.443805500,1,1
2.443822900,1,0
2.443840200,1,1
2.443848900,1,0
2.443857600,1,1
2.443866300,1,0
2.443875000,1,1
2.443883700,1,0
2.443961900,1,1
2.482580000,0,1
2.482597400,1,1
2.482614800,0,1
2.482623500,1,1
2.482632200,0,1
2.482640800,1,1
2.482649500,0,1
2.482658200,1,1
2.482666900,0,1
2.482710300,1,1
2.482719000,0,1
2.482745100,1,1
2.482753800,0,1
2.482779800,1,1
2.482823300,0,1
2.482832000,1,1
2.482840700,0,1
2.482849300,1,1
2.482858000,0,1
2.482884100,1,1
2.482927500,0,1
2.482953600,1,1
2.483014400,0,1
2.483023100,1,1
2.483040500,0,1
2.483049200,1,1
2.483075200,0,1
2.483092600,1,1
2.483101300,0,1
2.483110000,1,1
2.483118700,0,1
2.483136000,1,1
2.483144700,0,1
2.483162100,1,1
2.483188200,0,1
2.483196800,1,1
2.483205500,0,1
2.483214200,1,1
2.483222900,0,1
2.483231600,1,1
2.483249000,0,1
2.483266300,1,1
2.483275000,0,1
2.483283700,1,1
2.483301100,0,1
2.483327200,1,1
2.483335900,0,1
2.483353200,1,1
2.483361900,0,1
2.483370600,1,1
2.483379300,0,1
2.483388000,1,1
2.483405400,0,1
2.483431400,1,1
2.483448800,0,1
2.483457500,1,1
2.483474900,0,1
2.483483500,1,1
2.483500900,0,1
2.483518300,1,1
2.483535700,0,1
2.483544300,1,1
2.483622500,0,1
2.483631200,1,1
2.483639900,0,1
2.483657300,1,1
2.483674700,0,1
2.483692000,1,1
2.483709400,0,1
2.483718100,1,1
2.483726800,0,1
2.483735500,1,1
2.483752900,0,1
2.483787600,1,1
2.483796300,0,1
2.483805000,1,1
2.483822400,0,1
2.483831000,1,1
2.483848400,0,1
2.483857100,1,1
2.483883200,0,1
2.483909200,1,1
2.483917900,0,1
2.483952700,1,1
2.483970100,0,1
2.483987400,1,1
2.483996100,0,1
2.484022200,1,1
2.484030900,0,1
2.484048200,1,1
2.484056900,0,1
2.484065600,1,1
2.484074300,0,1
2.484083000,1,1
2.484100400,0,1
2.484109000,1,1
2.484126400,0,1
2.484135100,1,1
2.484663600,1,0
2.484681000,1,1
2.484698300,1,0
2.484707000,1,1
2.484715700,1,0
2.484724400,1,1
2.484733100,1,0
2.484741800,1,1
2.484750500,1,0
2.484793900,1,1
2.484802600,1,0
2.484828600,1,1
2.484837300,1,0
2.484863400,1,1
2.484872100,1,0
2.484915500,1,1
2.484924200,1,0
2.484932900,1,1
2.484959000,1,0
2.484976300,1,1
2.484993700,1,0
2.485002400,1,1
2.485011100,1,0
2.485054500,1,1
2.485063200,1,0
2.485071900,1,1
2.485080600,1,0
2.485089300,1,1
2.485098000,1,0
2.485106600,1,1
2.485115300,1,0
2.485132700,1,1
2.485158800,1,0
2.485167500,1,1
2.485184800,1,0
2.485193500,1,1
2.485210900,1,0
2.485219600,1,1
2.485237000,1,0
2.485254300,1,1
2.485271700,1,0
2.485289100,1,1
2.485297800,1,0
2.485332500,1,1
2.485341200,1,0
2.485349900,1,1
2.485358600,1,0
2.485367300,1,1
2.485376000,1,0
2.485393300,1,1
2.485419400,1,0
2.485428100,1,1
2.485445500,1,0
2.485471500,1,1
2.485488900,1,0
2.485506300,1,1
2.485515000,1,0
2.485523600,1,1
2.485532300,1,0
2.485541000,1,1
2.485567100,1,0
2.485575800,1,1
2.485584500,1,0
2.485593200,1,1
2.485601800,1,0
2.485610500,1,1
2.485619200,1,0
2.485636600,1,1
2.485654000,1,0
2.485697400,1,1
2.485706100,1,0
