Time [s],Channel 1,Channel 2
0.000000000,1,1
2.614645400,1,0
2.614654100,1,1
2.614680200,1,0
2.614688900,1,1
2.614697600,1,0
2.614706200,1,1
2.614714900,1,0
2.614723600,1,1
2.614732300,1,0
2.614810500,1,1
2.620064700,0,1
2.620099400,1,1
2.620116800,0,1
2.620125500,1,1
2.620134200,0,1
2.620142900,1,1
2.620151600,0,1
2.620203700,1,1
2.620212400,0,1
2.620229700,1,1
2.620238400,0,1
2.620247100,1,1
2.620255800,0,1
2.620273200,1,1
2.620290600,0,1
2.620307900,1,1
2.620325300,0,1
2.620342700,1,1
2.620351400,0,1
2.620377400,1,1
2.620412200,0,1
2.620420900,1,1
2.620438300,0,1
2.620446900,1,1
2.620455600,0,1
2.620464300,1,1
2.620499100,0,1
2.620516400,1,1
2.620525100,0,1
2.620533800,1,1
2.620551200,0,1
2.620559900,1,1
2.620585900,0,1
2.620594600,1,1
2.620603300,0,1
2.620612000,1,1
2.620629400,0,1
2.620638100,1,1
2.620646800,0,1
2.620655400,1,1
2.620672800,0,1
2.620681500,1,1
2.620698900,0,1
2.620707600,1,1
2.620733600,0,1
2.620751000,1,1
2.620759700,0,1
2.620768400,1,1
2.620803100,0,1
2.620820500,1,1
2.620829200,0,1
2.620837900,1,1
2.620846600,0,1
2.620863900,1,1
2.620907400,0,1
2.620916100,1,1
2.620933400,0,1
2.620942100,1,1
2.620950800,0,1
2.620959500,1,1
2.620968200,0,1
2.620976900,1,1
2.620985600,0,1
2.620994200,1,1
2.621002900,0,1
2.621011600,1,1
2.621020300,0,1
2.621029000,1,1
2.621081100,0,1
2.621098500,1,1
2.621107200,0,1
2.621115900,1,1
2.621133300,0,1
2.621141900,1,1
2.621159300,0,1
2.621185400,1,1
2.621194100,0,1
2.621211400,1,1
2.621246200,0,1
2.621254900,1,1
2.621263600,0,1
2.621272200,1,1
2.621280900,0,1
2.621289600,1,1
2.621333100,0,1
2.621359100,1,1
2.621367800,0,1
2.621376500,1,1
2.621393900,0,1
2.621428600,1,1
2.621437300,0,1
2.621446000,1,1
2.621454700,0,1
