Time [s],Channel 1,Channel 2
0.000000000,1,1
2.595219700,1,0
2.595237100,1,1
2.595254500,1,0
2.595263200,1,1
2.595271900,1,0
2.595280500,1,1
2.595289200,1,0
2.595297900,1,1
2.595306600,1,0
2.595358700,1,1
2.595367400,1,0
2.595384800,1,1
2.595393500,1,0
2.595410800,1,1
2.595419500,1,0
2.595463000,1,1
2.595480400,1,0
2.595489000,1,1
2.595506400,1,0
2.595515100,1,1
2.595532500,1,0
2.595558500,1,1
2.595567200,1,0
2.595575900,1,1
2.595593300,1,0
2.595602000,1,1
2.595654100,1,0
2.595671500,1,1
2.595680200,1,0
2.595697500,1,1
2.595706200,1,0
2.595723600,1,1
2.595741000,1,0
2.595767000,1,1
2.595775700,1,0
2.595793100,1,1
2.595827900,1,0
2.595845200,1,1
2.595853900,1,0
2.595880000,1,1
2.595888700,1,0
2.595906000,1,1
2.595914700,1,0
2.595949500,1,1
2.595958200,1,0
2.595992900,1,1
2.596001600,1,0
2.596019000,1,1
2.596045000,1,0
2.596079800,1,1
2.596088500,1,0
2.596114500,1,1
2.596131900,1,0
2.596140600,1,1
2.596158000,1,0
2.596166700,1,1
2.596175400,1,0
2.596192700,1,1
2.596244900,1,0
2.596253500,1,1
2.596262200,1,0
2.596279600,1,1
2.596288300,1,0
2.596297000,1,1
2.596323000,1,0
2.596331700,1,1
2.596349100,1,0
2.596357800,1,1
2.596375200,1,0
2.596418600,1,1
2.596436000,1,0
2.596453300,1,1
2.596470700,1,0
2.596479400,1,1
2.596522900,1,0
2.596548900,1,1
2.596592400,1,0
2.596601000,1,1
2.596609700,1,0
2.596618400,1,1
2.596627100,1,0
2.596653200,1,1
2.596661900,1,0
2.596679200,1,1
2.596696600,1,0
2.596705300,1,1
2.596731400,1,0
2.596740000,1,1
2.596748700,1,0
2.596774800,1,1
2.596783500,1,0
2.596809500,1,1
2.596818200,1,0
2.596826900,1,1
2.596870400,1,0
2.596879000,1,1
2.596905100,1,0
2.596913800,1,1
2.596939900,1,0
2.596948500,1,1
2.596957200,1,0
2.596965900,1,1
2.596974600,1,0
2.596983300,1,1
2.596992000,1,0
2.597000700,1,1
2.597044100,1,0
2.597052800,1,1
2.597061500,1,0
2.597070200,1,1
2.597087600,1,0
2.597096200,1,1
2.597131000,1,0
2.597139700,1,1
2.597157000,1,0
2.597165700,1,1
2.597183100,1,0
2.597191800,1,1
2.597200500,1,0
2.597209200,1,1
2.597217900,1,0
2.597226500,1,1
2.597243900,1,0
2.597261300,1,1
2.597278700,1,0
2.597296000,1,1
2.597304700,1,0
2.597330800,1,1
2.597348200,1,0
2.597374200,1,1
2.597391600,1,0
2.597400300,1,1
2.597409000,1,0
2.597443700,1,1
2.597478500,1,0
2.597495900,1,1
2.597504600,1,0
2.597521900,1,1
2.597530600,1,0
2.597556700,1,1
2.597565400,1,0
2.597574000,1,1
2.597582700,1,0
2.597591400,1,1
2.597600100,1,0
2.597608800,1,1
2.597634900,1,0
2.597643500,1,1
2.597652200,1,0
2.597687000,1,1
2.597695700,1,0
2.597704400,1,1
2.597721700,1,0
2.597730400,1,1
2.597739100,1,0
2.597747800,1,1
2.597782600,1,0
2.597791200,1,1
2.597826000,1,0
2.597843400,1,1
2.597860700,1,0
2.597895500,1,1
2.597912900,1,0
2.597921500,1,1
2.597930200,1,0
2.597938900,1,1
2.597947600,1,0
2.597956300,1,1
2.597965000,1,0
2.597973700,1,1
2.597999700,1,0
2.598017100,1,1
2.598025800,1,0
2.598051900,1,1
2.598069200,1,0
2.598077900,1,1
2.598086600,1,0
2.598095300,1,1
2.598112700,1,0
2.598130000,1,1
2.603902900,0,1
2.603929000,1,1
2.603937700,0,1
2.603946400,1,1
2.603955100,0,1
2.603963700,1,1
2.603972400,0,1
2.603981100,1,1
2.603989800,0,1
2.603998500,1,1
2.604007200,0,1
2.604068000,1,1
2.604076700,0,1
2.604085400,1,1
2.604094100,0,1
2.604154900,1,1
2.604169500,1,0
2.604178200,1,1
2.604204300,1,0
2.604212900,1,1
2.604221600,1,0
2.604230300,1,1
2.604239000,1,0
2.604247700,1,1
2.604256400,1,0
2.604282500,1,1
2.604299800,1,0
2.604334600,1,1
2.604343300,1,0
2.604352000,1,1
2.604369300,1,0
2.604386700,1,1
2.604404100,1,0
2.604421500,1,1
2.604430100,1,0
2.604508300,1,1
2.604517000,1,0
2.604595200,1,1
2.604603900,1,0
2.604682100,1,1
2.604690800,1,0
2.604769000,1,1
2.604777700,1,0
2.604855800,1,1
2.604864500,1,0
2.604942700,1,1
2.604951400,1,0
2.605029600,1,1
2.605038300,1,0
2.605116500,1,1
2.605125200,1,0
2.605203300,1,1
2.605212000,1,0
2.605290200,1,1
2.605298900,1,0
2.605377100,1,1
7.710843200,1,0
7.710860500,1,1
7.710877900,1,0
7.710886600,1,1
7.710895300,1,0
7.710904000,1,1
7.710912700,1,0
7.710921300,1,1
7.710930000,1,0
7.710982200,1,1
7.710990900,1,0
7.711008200,1,1
7.711016900,1,0
7.711034300,1,1
7.711043000,1,0
7.711086400,1,1
7.711103800,1,0
7.711112500,1,1
7.711129900,1,0
7.711138500,1,1
7.711155900,1,0
7.711182000,1,1
7.711190700,1,0
7.711199300,1,1
7.711216700,1,0
7.711225400,1,1
7.711277500,1,0
7.711294900,1,1
7.711303600,1,0
7.711321000,1,1
7.711329700,1,0
7.711347000,1,1
7.711364400,1,0
7.711390500,1,1
7.711399200,1,0
7.711416500,1,1
7.711451300,1,0
7.711468700,1,1
7.711477400,1,0
7.711503400,1,1
7.711512100,1,0
7.711529500,1,1
7.711538200,1,0
7.711572900,1,1
7.711581600,1,0
7.711616300,1,1
7.711625000,1,0
7.711642400,1,1
7.711668500,1,0
7.711703200,1,1
7.711711900,1,0
7.711738000,1,1
7.711755400,1,0
7.711764000,1,1
7.711781400,1,0
7.711790100,1,1
7.711798800,1,0
7.711816200,1,1
7.711868300,1,0
7.711877000,1,1
7.711885700,1,0
7.711903000,1,1
7.711911700,1,0
7.711920400,1,1
7.711946500,1,0
7.711955200,1,1
7.711972500,1,0
7.711981200,1,1
7.711998600,1,0
7.712042000,1,1
7.712059400,1,0
7.712076800,1,1
7.712094200,1,0
7.712102800,1,1
7.712146300,1,0
7.712172400,1,1
7.712215800,1,0
7.712224500,1,1
7.712233200,1,0
7.712241900,1,1
7.712250500,1,0
7.712276600,1,1
7.712285300,1,0
7.712302700,1,1
7.712320000,1,0
7.712328700,1,1
7.712354800,1,0
7.712363500,1,1
7.712372200,1,0
7.712398200,1,1
7.712406900,1,0
7.712433000,1,1
7.712441700,1,0
7.712450400,1,1
7.712493800,1,0
