Time [s],Channel 1,Channel 2
0.000000000,1,1
3.474387400,0,1
3.474396000,1,1
3.474422100,0,1
3.474430800,1,1
3.474439500,0,1
3.474448200,1,1
3.474456900,0,1
3.474465500,1,1
3.474474200,0,1
3.474482900,1,1
3.474491600,0,1
3.474552400,1,1
3.474561100,0,1
3.474578500,1,1
3.474595900,0,1
3.474639300,1,1
3.475365000,1,0
3.475382300,1,1
3.475399700,1,0
3.475408400,1,1
3.475417100,1,0
3.475425800,1,1
3.475434500,1,0
3.475443100,1,1
3.475451800,1,0
3.475495300,1,1
3.475504000,1,0
3.475530000,1,1
3.475538700,1,0
3.475556100,1,1
3.475573500,1,0
3.475582100,1,1
3.475590800,1,0
3.475599500,1,1
3.475608200,1,0
3.475616900,1,1
3.475625600,1,0
3.475634300,1,1
3.475686400,1,0
3.475695100,1,1
3.475712500,1,0
3.475747200,1,1
3.475764600,1,0
3.475773300,1,1
3.475799300,1,0
3.475808000,1,1
3.475825400,1,0
3.475842800,1,1
3.475860100,1,0
3.475877500,1,1
3.475886200,1,0
3.475894900,1,1
3.475921000,1,0
3.475947000,1,1
3.475955700,1,0
3.475964400,1,1
3.475973100,1,0
3.476033900,1,1
3.476042600,1,0
3.476051300,1,1
3.476060000,1,0
3.476086000,1,1
3.476094700,1,0
3.476103400,1,1
3.476129500,1,0
3.476138100,1,1
3.476146800,1,0
3.476164200,1,1
3.476181600,1,0
3.476216300,1,1
3.476233700,1,0
3.476242400,1,1
3.476259800,1,0
3.476268400,1,1
3.476277100,1,0
3.476311900,1,1
3.476320600,1,0
3.476337900,1,1
3.476355300,1,0
3.476372700,1,1
3.476407500,1,0
3.476416100,1,1
3.476477000,1,0
3.476485600,1,1
3.476494300,1,0
3.476503000,1,1
3.476511700,1,0
3.476537800,1,1
3.476581200,1,0
3.476589900,1,1
3.476624600,1,0
3.476642000,1,1
3.476650700,1,0
3.476659400,1,1
3.476668100,1,0
3.476676800,1,1
3.476711500,1,0
3.476720200,1,1
3.476728900,1,0
3.476746300,1,1
3.476755000,1,0
3.476763600,1,1
3.476772300,1,0
3.476789700,1,1
3.476798400,1,0
3.476815800,1,1
3.476824500,1,0
3.476833100,1,1
3.476841800,1,0
3.476859200,1,1
3.476885300,1,0
3.476902600,1,1
3.484865300,0,1
3.484874000,1,1
3.484900100,0,1
3.484908800,1,1
3.484917500,0,1
3.484926100,1,1
3.484934800,0,1
3.484943500,1,1
3.484952200,0,1
3.484960900,1,1
3.484969600,0,1
3.485030400,1,1
3.485039100,0,1
3.485047800,1,1
3.485073800,0,1
3.485117300,1,1
4.641747200,1,0
4.641764600,1,1
4.641782000,1,0
4.641790700,1,1
4.641799400,1,0
4.641808100,1,1
4.641816700,1,0
4.641825400,1,1
4.641834100,1,0
4.641877600,1,1
4.641886200,1,0
4.641912300,1,1
4.641921000,1,0
4.641938400,1,1
4.641947100,1,0
4.641955700,1,1
4.641973100,1,0
4.641990500,1,1
4.642007900,1,0
4.642025200,1,1
4.642033900,1,0
4.642042600,1,1
4.642051300,1,0
4.642077400,1,1
4.642094800,1,0
4.642103400,1,1
4.642112100,1,0
4.642129500,1,1
4.642164300,1,0
4.642172900,1,1
4.642181600,1,0
4.642190300,1,1
4.642199000,1,0
4.642216400,1,1
4.642242400,1,0
4.642259800,1,1
4.642268500,1,0
4.642285900,1,1
4.642303300,1,0
4.642311900,1,1
4.642329300,1,0
4.642338000,1,1
4.642355400,1,0
4.642372700,1,1
4.642381400,1,0
4.642390100,1,1
4.642398800,1,0
4.642407500,1,1
4.642416200,1,0
4.642433600,1,1
4.642442300,1,0
4.642450900,1,1
4.642477000,1,0
4.642494400,1,1
4.642503100,1,0
4.642520400,1,1
4.642529100,1,0
4.642546500,1,1
4.642555200,1,0
4.642563900,1,1
4.642572600,1,0
4.642607300,1,1
4.642616000,1,0
4.642624700,1,1
4.642633400,1,0
4.642642100,1,1
4.642659400,1,0
4.642668100,1,1
4.642676800,1,0
4.642685500,1,1
4.642702900,1,0
4.642737600,1,1
4.642746300,1,0
4.642763700,1,1
4.642772400,1,0
4.642781100,1,1
4.642789800,1,0
4.642798400,1,1
4.642807100,1,0
4.642815800,1,1
4.642833200,1,0
4.642867900,1,1
4.642876600,1,0
4.642885300,1,1
4.642894000,1,0
4.642928700,1,1
4.642937400,1,0
4.642954800,1,1
4.642963500,1,0
4.643015600,1,1
4.643024300,1,0
4.643041700,1,1
4.643050400,1,0
4.643059100,1,1
4.643076400,1,0
4.643085100,1,1
4.643093800,1,0
4.643102500,1,1
4.643111200,1,0
4.643128600,1,1
4.643137300,1,0
4.643145900,1,1
4.643154600,1,0
4.643172000,1,1
4.643198100,1,0
4.643215400,1,1
4.643224100,1,0
4.643250200,1,1
4.643276300,1,0
4.643284900,1,1
4.651248300,0,1
4.651256900,1,1
4.651283000,0,1
4.651291700,1,1
4.651300400,0,1
4.651309100,1,1
4.651317800,0,1
4.651326400,1,1
4.651335100,0,1
4.651343800,1,1
4.651352500,0,1
4.651413300,1,1
4.651422000,0,1
4.651456800,1,1
4.651465500,0,1
4.651500200,1,1
4.652226100,1,0
4.652243500,1,1
4.652260900,1,0
4.652269500,1,1
4.652278200,1,0
4.652286900,1,1
4.652295600,1,0
4.652304300,1,1
4.652313000,1,0
4.652356400,1,1
4.652365100,1,0
4.652391200,1,1
4.652399900,1,0
4.652408500,1,1
4.652417200,1,0
4.652452000,1,1
4.652486700,1,0
4.652495400,1,1
4.652547600,1,0
4.652556200,1,1
4.652573600,1,0
4.652591000,1,1
4.652599700,1,0
4.652608400,1,1
4.652617100,1,0
4.652643100,1,1
4.652660500,1,0
4.652677900,1,1
4.652712600,1,0
4.652730000,1,1
4.652747400,1,0
4.652764700,1,1
4.652773400,1,0
4.652799500,1,1
4.652808200,1,0
4.652816900,1,1
4.652834200,1,0
4.652842900,1,1
4.652921100,1,0
4.652929800,1,1
4.652938500,1,0
4.652947200,1,1
4.652964600,1,0
4.652990600,1,1
4.653008000,1,0
4.653016700,1,1
4.653042700,1,0
4.653051400,1,1
4.653060100,1,0
4.653077500,1,1
4.653094900,1,0
4.653112200,1,1
4.653120900,1,0
4.653138300,1,1
4.653155700,1,0
4.653173000,1,1
4.653181700,1,0
4.653190400,1,1
4.653199100,1,0
4.653251200,1,1
4.653268600,1,0
4.653294700,1,1
4.653303400,1,0
4.653312000,1,1
4.653338100,1,0
4.653346800,1,1
4.653355500,1,0
4.653364200,1,1
4.653381600,1,0
4.653398900,1,1
4.653416300,1,0
4.653425000,1,1
4.653442400,1,0
4.653494500,1,1
4.653529200,1,0
4.653537900,1,1
4.653546600,1,0
4.653564000,1,1
4.653572700,1,0
4.653598700,1,1
4.653616100,1,0
4.653624800,1,1
4.653633500,1,0
4.653650900,1,1
4.653659600,1,0
4.653668200,1,1
4.653703000,1,0
4.653711700,1,1
4.653720400,1,0
4.653737700,1,1
4.653755100,1,0
4.653772500,1,1
4.661726900,0,1
4.661735600,1,1
4.661761700,0,1
4.661770300,1,1
4.661779000,0,1
4.661787700,1,1
4.661796400,0,1
4.661805100,1,1
4.661813800,0,1
4.661822500,1,1
4.661831200,0,1
4.661892000,1,1
4.661900700,0,1
4.661909400,1,1
4.661918000,0,1
4.661935400,1,1
4.661944100,0,1
4.661978900,1,1
4.662703800,1,0
4.662721200,1,1
4.662738600,1,0
4.662747300,1,1
4.662756000,1,0
4.662764700,1,1
4.662773300,1,0
4.662782000,1,1
4.662790700,1,0
4.662808100,1,1
4.662834200,1,0
4.662868900,1,1
4.662877600,1,0
4.662886300,1,1
4.662895000,1,0
4.662912300,1,1
4.662921000,1,0
4.662947100,1,1
4.662964500,1,0
4.663025300,1,1
4.663051400,1,0
4.663077400,1,1
4.663094800,1,0
4.663120800,1,1
4.663138200,1,0
4.663146900,1,1
4.663164300,1,0
4.663181700,1,1
4.663199000,1,0
4.663216400,1,1
4.663225100,1,0
4.663242500,1,1
4.663251200,1,0
4.663259800,1,1
4.663277200,1,0
4.663285900,1,1
4.663312000,1,0
4.663320700,1,1
4.663346700,1,0
4.663364100,1,1
4.663398900,1,0
4.663407500,1,1
4.663433600,1,0
4.663442300,1,1
4.663451000,1,0
4.663459700,1,1
4.663468400,1,0
4.663477000,1,1
4.663485700,1,0
4.663503100,1,1
4.663529200,1,0
4.663537800,1,1
4.663546500,1,0
4.663563900,1,1
4.663572600,1,0
4.663598700,1,1
4.663616000,1,0
4.663624700,1,1
4.663633400,1,0
4.663642100,1,1
4.663659500,1,0
4.663668200,1,1
4.663676900,1,0
4.663685500,1,1
4.663694200,1,0
4.663702900,1,1
4.663720300,1,0
4.663737700,1,1
4.663746400,1,0
4.663781100,1,1
4.663789800,1,0
4.663798500,1,1
4.663807200,1,0
4.663815800,1,1
4.663833200,1,0
4.663841900,1,1
4.663850600,1,0
4.663876700,1,1
4.663885400,1,0
4.663894000,1,1
4.663902700,1,0
4.663911400,1,1
4.663920100,1,0
4.663937500,1,1
4.663946200,1,0
4.663954800,1,1
4.663963500,1,0
4.663989600,1,1
4.664007000,1,0
4.664015700,1,1
4.664024400,1,0
4.664059100,1,1
4.664076500,1,0
4.664085200,1,1
4.666340000,0,1
4.666348700,1,1
4.666374800,0,1
4.666383500,1,1
4.666392100,0,1
4.666400800,1,1
4.666409500,0,1
4.666418200,1,1
4.666426900,0,1
4.666435600,1,1
4.666444300,0,1
4.666505100,1,1
4.666513800,0,1
4.666531100,1,1
4.666539800,0,1
4.666548500,1,1
4.666557200,0,1
4.666592000,1,1
4.667317000,1,0
4.667334400,1,1
4.667351700,1,0
4.667360400,1,1
4.667369100,1,0
4.667377800,1,1
4.667386500,1,0
4.667395200,1,1
4.667403900,1,0
4.667412500,1,1
4.667429900,1,0
4.667482000,1,1
4.667490700,1,0
4.667516800,1,1
4.667534200,1,0
4.667542900,1,1
4.667577600,1,0
4.667647100,1,1
4.667664500,1,0
4.667681900,1,1
4.667690600,1,0
4.667707900,1,1
4.667716600,1,0
4.667734000,1,1
4.669997500,0,1
4.670006200,1,1
4.670032200,0,1
4.670040900,1,1
4.670049600,0,1
4.670058300,1,1
4.670067000,0,1
4.670075700,1,1
4.670084400,0,1
4.670093000,1,1
4.670101700,0,1
4.670162500,1,1
4.670171200,0,1
4.670179900,1,1
4.670197300,0,1
4.670206000,1,1
4.670214700,0,1
4.670249400,1,1
4.670975300,1,0
4.670992700,1,1
4.671010100,1,0
4.671018800,1,1
4.671027500,1,0
4.671036100,1,1
4.671044800,1,0
4.671053500,1,1
4.671062200,1,0
4.671105600,1,1
4.671114300,1,0
4.671140400,1,1
4.671149100,1,0
4.671157800,1,1
4.671166500,1,0
4.671175100,1,1
4.671183800,1,0
4.671192500,1,1
4.671209900,1,0
4.671227300,1,1
4.671236000,1,0
4.671262000,1,1
4.671279400,1,0
4.671296800,1,1
4.671322800,1,0
4.671331500,1,1
4.671357600,1,0
4.671374900,1,1
4.671409700,1,0
4.671427100,1,1
4.671453100,1,0
4.671479200,1,1
4.671496600,1,0
4.671505300,1,1
4.671522600,1,0
4.671531300,1,1
4.671583500,1,0
4.671592100,1,1
4.671600800,1,0
4.671609500,1,1
4.671618200,1,0
4.671626900,1,1
4.671644300,1,0
4.671661600,1,1
4.671670300,1,0
4.671687700,1,1
4.671705100,1,0
4.671713800,1,1
4.671739800,1,0
4.671748500,1,1
4.671757200,1,0
4.671765900,1,1
4.671774600,1,0
4.671800600,1,1
4.671809300,1,0
4.671818000,1,1
4.671844100,1,0
4.671852800,1,1
4.671887500,1,0
4.671922300,1,1
4.671931000,1,0
4.671948300,1,1
4.671965700,1,0
4.672000400,1,1
4.672017800,1,0
4.672035200,1,1
4.672052600,1,0
4.672061300,1,1
4.672070000,1,0
4.672087300,1,1
4.672104700,1,0
4.672113400,1,1
4.672130800,1,0
4.672139400,1,1
4.672148100,1,0
4.672174200,1,1
4.672191600,1,0
4.672208900,1,1
4.672226300,1,0
4.672252400,1,1
4.672261100,1,0
4.672269800,1,1
4.672278500,1,0
4.672287100,1,1
4.672339300,1,0
4.672347900,1,1
4.672365300,1,0
4.672374000,1,1
4.672382700,1,0
4.672391400,1,1
4.672417500,1,0
4.672434800,1,1
4.672452200,1,0
4.672486900,1,1
4.672504300,1,0
4.672521700,1,1
4.680476100,0,1
4.680484800,1,1
4.680510900,0,1
4.680519600,1,1
4.680528300,0,1
4.680536900,1,1
4.680545600,0,1
4.680554300,1,1
4.680563000,0,1
4.680571700,1,1
4.680580400,0,1
4.680641200,1,1
4.680649900,0,1
4.680675900,1,1
4.680693300,0,1
4.680728100,1,1
4.681454300,1,0
4.681471600,1,1
4.681489000,1,0
4.681497700,1,1
4.681506400,1,0
4.681515100,1,1
4.681523700,1,0
4.681532400,1,1
4.681541100,1,0
4.681584600,1,1
4.681593300,1,0
4.681619300,1,1
4.681628000,1,0
4.681645400,1,1
4.681662800,1,0
4.681680100,1,1
4.681688800,1,0
4.681706200,1,1
4.681714900,1,0
4.681740900,1,1
4.681749600,1,0
4.681767000,1,1
4.681775700,1,0
4.681784400,1,1
4.681801800,1,0
4.681810400,1,1
4.681819100,1,0
4.681836500,1,1
4.681853900,1,0
4.681879900,1,1
4.681888600,1,0
4.681897300,1,1
4.681914700,1,0
4.681923400,1,1
4.681932100,1,0
4.681940700,1,1
4.681949400,1,0
4.681958100,1,1
4.681975500,1,0
4.681992900,1,1
4.682001600,1,0
4.682036300,1,1
4.682062400,1,0
4.682088400,1,1
4.682114500,1,0
4.682131900,1,1
4.682149300,1,0
4.682157900,1,1
4.682166600,1,0
4.682175300,1,1
4.682192700,1,0
4.682201400,1,1
4.682210100,1,0
4.682227400,1,1
4.682236100,1,0
4.682244800,1,1
4.682270900,1,0
4.682279600,1,1
4.682305600,1,0
4.682314300,1,1
4.682323000,1,0
4.682331700,1,1
4.682340400,1,0
4.682366400,1,1
4.682409900,1,0
4.682462000,1,1
4.682479400,1,0
4.682488100,1,1
4.682496800,1,0
4.682514100,1,1
4.682522800,1,0
4.682531500,1,1
4.682540200,1,0
4.682548900,1,1
4.682557600,1,0
4.682574900,1,1
4.682583600,1,0
4.682592300,1,1
4.682618400,1,0
4.682644400,1,1
4.682653100,1,0
4.682661800,1,1
4.682670500,1,0
4.682687900,1,1
4.682705300,1,0
4.682713900,1,1
4.682722600,1,0
4.682748700,1,1
4.682757400,1,0
4.682774700,1,1
4.682783400,1,0
4.682792100,1,1
4.682800800,1,0
4.682818200,1,1
4.682844300,1,0
4.682879000,1,1
4.682896400,1,0
4.682922400,1,1
4.682931100,1,0
4.682948500,1,1
4.682974600,1,0
4.682983200,1,1
4.682991900,1,0
4.683000600,1,1
4.690954800,0,1
4.690963500,1,1
4.690989500,0,1
4.690998200,1,1
4.691006900,0,1
4.691015600,1,1
4.691024300,0,1
4.691033000,1,1
4.691041700,0,1
4.691050400,1,1
4.691059000,0,1
4.691119900,1,1
4.691128500,0,1
4.691137200,1,1
4.691145900,0,1
4.691154600,1,1
4.691172000,0,1
4.691206700,1,1
4.691932500,1,0
4.691949900,1,1
4.691967200,1,0
4.691975900,1,1
4.691984600,1,0
4.691993300,1,1
4.692002000,1,0
4.692010700,1,1
4.692019400,1,0
4.692062800,1,1
4.692071500,1,0
4.692097500,1,1
4.692106200,1,0
4.692123600,1,1
4.692149700,1,0
4.692158400,1,1
4.692193100,1,0
4.692210500,1,1
4.692219200,1,0
4.692227900,1,1
4.692236600,1,0
4.692253900,1,1
4.692280000,1,0
4.692288700,1,1
4.692306100,1,0
4.692323400,1,1
4.692340800,1,0
4.692358200,1,1
4.692366900,1,0
4.692384200,1,1
4.692410300,1,0
4.692445000,1,1
4.692453700,1,0
4.692479800,1,1
4.692505900,1,0
4.692531900,1,1
4.692540600,1,0
4.692549300,1,1
4.692566700,1,0
4.692575400,1,1
4.692584100,1,0
4.692601400,1,1
4.692610100,1,0
4.692618800,1,1
4.692627500,1,0
4.692653500,1,1
4.692662200,1,0
4.692679600,1,1
4.692688300,1,0
4.692705700,1,1
4.692714400,1,0
4.692740400,1,1
4.692757800,1,0
4.692792500,1,1
4.692801200,1,0
4.692818600,1,1
4.692827300,1,0
4.692836000,1,1
4.692853400,1,0
4.692862000,1,1
4.692888100,1,0
4.692896800,1,1
4.692905500,1,0
4.692922900,1,1
4.692940200,1,0
4.692966300,1,1
4.692975000,1,0
4.692983700,1,1
4.692992400,1,0
