Time [s],Channel 1,Channel 2
0.000000000,1,1
2.442599200,1,0
2.442607900,1,1
2.442616600,1,0
2.442677300,1,1
2.442686000,1,0
2.442694700,1,1
2.442720700,1,0
2.442729400,1,1
2.442746800,1,0
2.442764100,1,1
2.442772800,1,0
2.442781500,1,1
2.442807600,1,0
2.442816200,1,1
2.442833600,1,0
2.442851000,1,1
2.442859600,1,0
2.442868300,1,1
2.442877000,1,0
2.442885700,1,1
2.442894400,1,0
2.442903000,1,1
2.442920400,1,0
2.442937800,1,1
2.442946500,1,0
2.442963800,1,1
2.442972500,1,0
2.442998500,1,1
2.443015900,1,0
2.443024600,1,1
2.443033300,1,0
2.443041900,1,1
2.443050600,1,0
2.443068000,1,1
2.443094000,1,0
2.443111400,1,1
2.443120100,1,0
2.443137400,1,1
2.443146100,1,0
2.443163500,1,1
2.443180900,1,0
2.443198200,1,1
2.443206900,1,0
2.443215600,1,1
2.443232900,1,0
2.443250300,1,1
2.443267700,1,0
2.443285000,1,1
2.443293700,1,0
2.443311100,1,1
2.443328400,1,0
2.443337100,1,1
2.443354500,1,0
2.443371800,1,1
2.443380500,1,0
2.443389200,1,1
2.443397900,1,0
2.443406600,1,1
2.443415200,1,0
2.443423900,1,1
2.443441300,1,0
2.443458600,1,1
2.443467300,1,0
2.443476000,1,1
2.443484700,1,0
2.443519400,1,1
2.443536800,1,0
2.443545500,1,1
2.443554100,1,0
2.443562800,1,1
2.443571500,1,0
2.443580200,1,1
2.443588900,1,0
2.443606200,1,1
2.443623600,1,0
2.443632300,1,1
2.443641000,1,0
2.443649600,1,1
2.443675700,1,0
2.443684400,1,1
2.443701700,1,0
2.443719100,1,1
2.443727800,1,0
2.443736400,1,1
2.443745100,1,0
2.443779800,1,1
2.443797200,1,0
2.443805900,1,1
2.443814600,1,0
2.443823300,1,1
2.443831900,1,0
2.443858000,1,1
2.443875400,1,0
2.443892700,1,1
2.443901400,1,0
2.443918700,1,1
2.443936100,1,0
2.443944800,1,1
2.443962200,1,0
2.443979500,1,1
2.443988200,1,0
2.444005600,1,1
2.444014300,1,0
2.444031600,1,1
2.444049000,1,0
2.444066300,1,1
2.444075000,1,0
2.444083700,1,1
2.444101100,1,0
2.444127100,1,1
2.444144500,1,0
2.444153100,1,1
2.444161800,1,0
2.444187900,1,1
2.444196600,1,0
2.444213900,1,1
2.444231300,1,0
2.444240000,1,1
2.444248600,1,0
2.444266000,1,1
2.444283400,1,0
2.444300700,1,1
2.444318100,1,0
2.444326800,1,1
2.444335500,1,0
2.444344100,1,1
2.444370200,1,0
2.444378900,1,1
2.444396200,1,0
2.444413600,1,1
2.444422300,1,0
2.444430900,1,1
2.444457000,1,0
2.444465700,1,1
2.444483000,1,0
2.444500400,1,1
2.444509100,1,0
2.444526400,1,1
2.444535100,1,0
2.444561200,1,1
2.444578500,1,0
2.444587200,1,1
2.444595900,1,0
2.444604600,1,1
2.444613300,1,0
2.444621900,1,1
2.444630600,1,0
2.444648000,1,1
2.444665300,1,0
2.444674000,1,1
2.444682700,1,0
2.444700100,1,1
2.444708800,1,0
2.444734800,1,1
2.444752200,1,0
2.444760800,1,1
2.444769500,1,0
2.444778200,1,1
2.444804200,1,0
2.444812900,1,1
2.444830300,1,0
2.444847600,1,1
2.444856300,1,0
2.444882400,1,1
2.444891100,1,0
2.444899700,1,1
2.444917100,1,0
2.444934500,1,1
2.444943100,1,0
2.444969200,1,1
2.444977900,1,0
2.444995200,1,1
2.445012600,1,0
2.445021300,1,1
2.445030000,1,0
2.445047300,1,1
2.445056000,1,0
2.445073400,1,1
2.445090700,1,0
2.445108100,1,1
2.445116800,1,0
2.445151500,1,1
2.445177500,1,0
2.445194900,1,1
2.445203600,1,0
2.445247000,1,1
2.445264400,1,0
2.445281700,1,1
2.445290400,1,0
2.445299100,1,1
2.445307800,1,0
2.445316400,1,1
2.445325100,1,0
2.445333800,1,1
2.445351200,1,0
2.445368500,1,1
2.445377200,1,0
2.445385900,1,1
2.445394600,1,0
2.445429300,1,1
2.445446700,1,0
2.445455300,1,1
2.445464000,1,0
2.445472700,1,1
2.445481400,1,0
2.445490100,1,1
2.445498700,1,0
2.445516100,1,1
2.445533500,1,0
2.445542100,1,1
2.445550800,1,0
2.445568200,1,1
2.445576900,1,0
2.445594200,1,1
2.445611600,1,0
2.445629000,1,1
2.445637600,1,0
2.445646300,1,1
2.445655000,1,0
2.445689700,1,1
2.445707100,1,0
2.445715800,1,1
2.445724500,1,0
2.445750500,1,1
2.445759200,1,0
2.445767900,1,1
2.445785200,1,0
2.445802600,1,1
2.445811300,1,0
2.445820000,1,1
2.445828600,1,0
2.445837300,1,1
2.445846000,1,0
2.445854700,1,1
2.445872000,1,0
2.445889400,1,1
2.445898100,1,0
2.445932800,1,1
2.445958900,1,0
2.445976200,1,1
2.445984900,1,0
2.446019600,1,1
2.446045700,1,0
2.446063000,1,1
2.446071700,1,0
2.446080400,1,1
2.446089100,1,0
2.446115100,1,1
2.446132500,1,0
2.446149800,1,1
2.446158500,1,0
2.446175900,1,1
2.446184600,1,0
2.446201900,1,1
2.446219300,1,0
2.446236700,1,1
2.446245300,1,0
2.446271400,1,1
2.446280100,1,0
2.446297400,1,1
2.446314800,1,0
2.446323500,1,1
2.446332200,1,0
2.446340800,1,1
2.446349500,1,0
2.446358200,1,1
2.446366900,1,0
2.446375600,1,1
2.446392900,1,0
2.446410300,1,1
2.446419000,1,0
2.446436300,1,1
2.446445000,1,0
2.446471000,1,1
2.446488400,1,0
2.446497100,1,1
2.446505800,1,0
2.446514500,1,1
2.446523100,1,0
2.446549200,1,1
2.446566600,1,0
2.446583900,1,1
2.446592600,1,0
2.446601300,1,1
2.446618600,1,0
2.446636000,1,1
2.446653400,1,0
