Time [s],Channel 1,Channel 2
0.000000000,1,1
2.589006600,1,0
2.589058600,1,1
2.589076000,1,0
2.589084600,1,1
2.595915900,0,1
2.595924500,1,1
2.595933200,0,1
2.595967800,1,1
2.595985200,0,1
2.595993800,1,1
2.596002500,0,1
2.596019800,1,1
2.596028500,0,1
2.596037100,1,1
2.596054500,0,1
2.596071800,1,1
2.596089100,0,1
2.596106400,1,1
2.596158400,0,1
2.596167000,1,1
2.596175700,0,1
2.596193000,1,1
2.596210300,0,1
2.596227600,1,1
2.596236300,0,1
2.596253600,1,1
2.596262300,0,1
2.596270900,1,1
2.596305600,0,1
2.596314200,1,1
2.596348900,0,1
2.596366200,1,1
2.596392200,0,1
2.596400900,1,1
2.596409500,0,1
2.596426800,1,1
2.596435500,0,1
2.596444200,1,1
2.596452900,0,1
2.596461500,1,1
2.596470200,0,1
2.596496200,1,1
2.596522200,0,1
2.596556800,1,1
2.596565500,0,1
2.596574100,1,1
2.596608800,0,1
2.596617400,1,1
2.596643400,0,1
2.596660700,1,1
2.596678100,0,1
2.596686700,1,1
2.596695400,0,1
2.596721400,1,1
2.596747400,0,1
2.596773300,1,1
2.596782000,0,1
2.596790600,1,1
2.596808000,0,1
2.596834000,1,1
2.596842600,0,1
2.596859900,1,1
2.596868600,0,1
2.596877300,1,1
2.596894600,0,1
2.596903300,1,1
2.596929300,0,1
2.596946600,1,1
2.596955300,0,1
2.596963900,1,1
2.596972600,0,1
2.596981200,1,1
2.596998500,0,1
2.597015900,1,1
2.597041900,0,1
2.597050500,1,1
2.597059200,0,1
2.597085200,1,1
2.597093800,0,1
2.597102500,1,1
2.597111200,0,1
2.597119800,1,1
2.597128500,0,1
2.597137100,1,1
2.597154500,0,1
2.597163100,1,1
2.597215100,0,1
2.597241100,1,1
2.597249800,0,1
2.597258400,1,1
2.597275800,0,1
2.597293100,1,1
2.597301800,0,1
2.597319100,1,1
2.597327700,0,1
2.597336400,1,1
2.597345100,0,1
2.597353700,1,1
2.597371100,0,1
2.597379700,1,1
2.597388400,0,1
2.597414400,1,1
2.597423000,0,1
2.597449000,1,1
2.597457700,0,1
2.597466300,1,1
2.597475000,0,1
2.597492300,1,1
2.597501000,0,1
2.597509600,1,1
2.597518300,0,1
2.597527000,1,1
2.597561600,0,1
2.597570300,1,1
2.597604900,0,1
2.597613600,1,1
2.597622300,0,1
2.597639600,1,1
2.597648300,0,1
2.597682900,1,1
2.597691600,0,1
2.597717500,1,1
2.597734900,0,1
2.597752200,1,1
2.597760800,0,1
2.597769500,1,1
2.597786800,0,1
2.597812800,1,1
2.597821500,0,1
2.597838800,1,1
2.597890800,0,1
2.597899400,1,1
2.597908100,0,1
2.597942700,1,1
2.597951400,0,1
2.597960000,1,1
2.597977400,0,1
2.597986000,1,1
2.597994700,0,1
2.598003300,1,1
2.598020700,0,1
2.598055300,1,1
2.598064000,0,1
2.598072700,1,1
2.598081300,0,1
2.598090000,1,1
2.598098700,0,1
2.598124600,1,1
2.598133300,0,1
2.598142000,1,1
2.598150600,0,1
2.598159300,1,1
2.598168000,0,1
2.598176600,1,1
2.598220000,0,1
2.598245900,1,1
2.598254600,0,1
2.598263300,1,1
2.598280600,0,1
2.598289200,1,1
2.598306600,0,1
2.598315200,1,1
2.598323900,0,1
2.598332500,1,1
2.598341200,0,1
2.598358500,1,1
2.598367200,0,1
2.598384500,1,1
2.598393200,0,1
2.598419200,1,1
2.598427900,0,1
2.598445200,1,1
2.598471200,0,1
2.598479800,1,1
2.598488500,0,1
2.598497200,1,1
2.598514500,0,1
2.598531800,1,1
2.598583800,0,1
2.598592500,1,1
2.598601200,0,1
2.598627100,1,1
2.598644500,0,1
2.598679100,1,1
2.598687800,0,1
2.598696400,1,1
2.598705100,0,1
2.598713800,1,1
2.598722500,0,1
2.598739800,1,1
2.598774400,0,1
2.598809100,1,1
2.598817700,0,1
2.598826400,1,1
2.598835100,0,1
2.598843700,1,1
2.598861100,0,1
2.598904400,1,1
2.598913000,0,1
2.598930400,1,1
2.598947700,0,1
2.598956400,1,1
2.598982400,0,1
2.598991000,1,1
2.598999700,0,1
2.599025700,1,1
2.599034300,0,1
2.599077600,1,1
2.599095000,0,1
2.599103600,1,1
2.599121000,0,1
2.599129600,1,1
2.599164300,0,1
2.599181600,1,1
2.599190300,0,1
2.599198900,1,1
2.599207600,0,1
2.599216300,1,1
2.599224900,0,1
2.599242300,1,1
2.599250900,0,1
2.599276900,1,1
2.599294200,0,1
2.599311600,1,1
2.599320200,0,1
2.599337500,1,1
2.599346200,0,1
2.599363500,1,1
2.599380900,0,1
2.599415500,1,1
2.599424200,0,1
2.599441500,1,1
2.599450200,0,1
2.599458800,1,1
2.599467500,0,1
2.599484800,1,1
2.599493500,0,1
2.599519500,1,1
2.599528200,0,1
2.599536800,1,1
2.599554200,0,1
2.599562800,1,1
2.599571500,0,1
2.599606100,1,1
2.599623400,0,1
2.599632100,1,1
2.599640800,0,1
2.599649400,1,1
2.599675400,0,1
2.599692700,1,1
2.599701400,0,1
2.599718700,1,1
2.599727400,0,1
2.599736000,1,1
2.599796700,0,1
2.599805300,1,1
2.599814000,0,1
2.599831300,1,1
2.599840000,0,1
2.599848600,1,1
2.599857300,0,1
2.599874600,1,1
2.599900700,0,1
2.599909300,1,1
2.599926600,0,1
2.599952600,1,1
2.599961300,0,1
2.599978600,1,1
2.599987300,0,1
2.600004600,1,1
2.600039300,0,1
2.600056600,1,1
2.600073900,0,1
2.600082600,1,1
2.600099900,0,1
2.600134600,1,1
2.600160600,0,1
2.600177900,1,1
2.600203900,0,1
2.600212500,1,1
2.600229900,0,1
2.600238500,1,1
2.600247200,0,1
2.600255800,1,1
2.600264500,0,1
2.600273200,1,1
2.600290500,0,1
2.600299200,1,1
2.600307800,0,1
2.600325100,1,1
2.600333800,0,1
2.600342500,1,1
2.600351200,0,1
2.600359800,1,1
2.600377100,0,1
2.600385800,1,1
2.600420400,0,1
2.600429100,1,1
2.600437800,0,1
2.600463700,1,1
2.600472400,0,1
2.600481100,1,1
2.600489700,0,1
2.600498400,1,1
2.600507100,0,1
2.600515700,1,1
2.600541700,0,1
2.600550400,1,1
2.600567700,0,1
2.600576400,1,1
2.600593700,0,1
2.600619700,1,1
2.600628400,0,1
2.600637000,1,1
2.600645700,0,1
2.600654300,1,1
2.600680400,0,1
2.600706300,1,1
2.600732400,0,1
2.600741000,1,1
2.600749700,0,1
2.600758300,1,1
2.600767000,0,1
2.600775700,1,1
2.600793000,0,1
2.600827700,1,1
2.600836400,0,1
2.600845000,1,1
2.600853700,0,1
2.600862400,1,1
2.600879700,0,1
2.600931700,1,1
2.600940400,0,1
2.600992400,1,1
2.601001000,0,1
2.601009700,1,1
2.601027000,0,1
2.601035700,1,1
2.601044400,0,1
2.601053000,1,1
2.601061700,0,1
2.601070300,1,1
2.601087700,0,1
2.601096300,1,1
2.601113700,0,1
2.601122300,1,1
2.601200400,0,1
2.601209000,1,1
2.601235000,0,1
2.601243700,1,1
2.601252400,0,1
2.601261000,1,1
2.601269700,0,1
2.601278400,1,1
2.601287000,0,1
2.601313000,1,1
2.601321700,0,1
2.601339000,1,1
2.601356400,0,1
2.601365000,1,1
2.601373700,0,1
2.601391000,1,1
2.601408400,0,1
2.601417000,1,1
2.601425700,0,1
2.601451700,1,1
2.601460400,0,1
2.601477700,1,1
2.601495000,0,1
2.601521000,1,1
2.601529700,0,1
2.601538300,1,1
2.601547000,0,1
2.601564300,1,1
2.601573000,0,1
2.601590300,1,1
2.601599000,0,1
2.601625000,1,1
2.601633700,0,1
2.601651000,1,1
2.601694300,0,1
2.601711600,1,1
2.601720300,0,1
2.601737600,1,1
2.601763600,0,1
2.601780900,1,1
2.601807000,0,1
2.601815600,1,1
2.601832900,0,1
2.601841600,1,1
2.601876300,0,1
2.601884900,1,1
2.601893600,0,1
2.601945600,1,1
2.601954300,0,1
2.601971600,1,1
2.601980300,0,1
2.601988900,1,1
2.602015000,0,1
2.602023600,1,1
2.602049600,0,1
2.602058300,1,1
2.602066900,0,1
2.602092900,1,1
2.602101600,0,1
2.602110300,1,1
2.602118900,0,1
2.602144900,1,1
2.602153600,0,1
2.602171000,1,1
2.602179600,0,1
2.602188300,1,1
2.602197000,0,1
2.602223000,1,1
2.619978300,1,0
2.619995600,1,1
2.620004300,1,0
2.620030200,1,1
2.620047600,1,0
2.620056200,1,1
2.620064900,1,0
2.620082200,1,1
2.620090900,1,0
2.620099500,1,1
2.620116900,1,0
2.620134200,1,1
2.620151500,1,0
2.620168800,1,1
2.620220900,1,0
2.620229500,1,1
2.620238200,1,0
2.620255500,1,1
2.620272900,1,0
2.620290200,1,1
2.620298800,1,0
2.620316200,1,1
2.620324800,1,0
2.620333500,1,1
2.620368100,1,0
2.620376800,1,1
2.620411400,1,0
2.620428700,1,1
2.620454800,1,0
2.620463400,1,1
2.620472100,1,0
2.620489400,1,1
2.620498100,1,0
2.620506700,1,1
2.620515400,1,0
2.620524100,1,1
2.620532700,1,0
2.620558700,1,1
2.620584700,1,0
2.620619300,1,1
2.620628000,1,0
2.620636700,1,1
2.620671300,1,0
2.620706000,1,1
2.620714700,1,0
2.620723400,1,1
2.620740700,1,0
2.620749400,1,1
2.620758100,1,0
2.620792700,1,1
2.620810100,1,0
2.620818700,1,1
2.620844700,1,0
2.620853400,1,1
2.620862000,1,0
2.620870700,1,1
2.620896700,1,0
2.620922700,1,1
2.620931300,1,0
2.620948600,1,1
2.620974700,1,0
2.620983300,1,1
2.621018000,1,0
2.621070000,1,1
2.621104600,1,0
2.621113300,1,1
2.621148000,1,0
2.621156600,1,1
2.621165300,1,0
2.621173900,1,1
2.621191300,1,0
2.621217300,1,1
2.621226000,1,0
2.621243300,1,1
2.621277900,1,0
2.621286600,1,1
2.621295300,1,0
2.621312600,1,1
2.621329900,1,0
2.621347200,1,1
2.621364600,1,0
2.621373200,1,1
2.621381900,1,0
2.621407900,1,1
2.621416500,1,0
2.621425200,1,1
2.621451200,1,0
2.621459900,1,1
2.621468500,1,0
2.621485900,1,1
2.621494500,1,0
2.621511900,1,1
2.621537900,1,0
2.621546500,1,1
2.621555200,1,0
2.621563800,1,1
2.621572500,1,0
2.621589800,1,1
2.621598500,1,0
2.621615800,1,1
2.621624500,1,0
2.621633100,1,1
2.621659100,1,0
2.621667700,1,1
2.621711000,1,0
2.621719700,1,1
2.621728400,1,0
2.621737000,1,1
2.621745700,1,0
2.621763000,1,1
2.621771700,1,0
2.621780300,1,1
2.621797700,1,0
2.621815000,1,1
2.621823700,1,0
2.621866900,1,1
2.621884300,1,0
2.621918900,1,1
2.621936300,1,0
2.621944900,1,1
2.621953600,1,0
2.621962300,1,1
2.621971000,1,0
2.622022900,1,1
2.622031600,1,0
2.622048900,1,1
2.622057600,1,0
2.622066200,1,1
2.622074900,1,0
2.622083500,1,1
2.622092200,1,0
2.622109500,1,1
2.622118200,1,0
2.622135500,1,1
2.622144200,1,0
2.622161500,1,1
2.622187500,1,0
2.622222100,1,1
2.622230700,1,0
2.622239400,1,1
2.622256700,1,0
2.622274000,1,1
2.622282700,1,0
2.622291300,1,1
2.622300000,1,0
2.622308700,1,1
2.622317300,1,0
2.622343300,1,1
2.622369300,1,0
2.622395200,1,1
2.622403900,1,0
2.622412500,1,1
2.622438500,1,0
2.622464500,1,1
2.622473200,1,0
2.622481900,1,1
2.622490500,1,0
2.622507800,1,1
2.622516500,1,0
2.622533800,1,1
2.622559800,1,0
2.622568500,1,1
2.622577200,1,0
2.622594500,1,1
2.622603200,1,0
2.622620500,1,1
2.622646500,1,0
2.622655200,1,1
2.622663900,1,0
2.622672500,1,1
2.622689900,1,0
2.622698500,1,1
2.622707200,1,0
2.622715900,1,1
2.622724600,1,0
2.622741900,1,1
2.622750500,1,0
2.622767800,1,1
2.622776500,1,0
2.622828500,1,1
2.622837200,1,0
2.622845800,1,1
2.622871800,1,0
2.622880500,1,1
2.622923800,1,0
2.622932500,1,1
2.622958400,1,0
2.623001800,1,1
2.623010400,1,0
2.623019100,1,1
2.623027800,1,0
2.623036400,1,1
2.623045100,1,0
2.623062400,1,1
2.623071100,1,0
2.623088400,1,1
2.623097000,1,0
2.623131600,1,1
2.623140300,1,0
2.623166300,1,1
2.623183600,1,0
2.623192300,1,1
2.623218200,1,0
2.623226900,1,1
2.623244300,1,0
2.623252900,1,1
2.623270200,1,0
2.623287500,1,1
2.623296200,1,0
2.623313500,1,1
2.623322200,1,0
2.623330800,1,1
2.623356800,1,0
2.623365500,1,1
2.623374100,1,0
2.623400100,1,1
2.623408800,1,0
2.623417400,1,1
2.623426100,1,0
2.623434800,1,1
2.623443400,1,0
2.623452100,1,1
2.623486800,1,0
2.623495400,1,1
2.623504100,1,0
2.623521400,1,1
2.623530100,1,0
2.623538700,1,1
2.623590700,1,0
2.623599400,1,1
2.623616700,1,0
2.623651400,1,1
2.623686000,1,0
2.623694700,1,1
2.623703300,1,0
2.623712000,1,1
2.623729300,1,0
2.623746600,1,1
2.623755300,1,0
2.623772600,1,1
2.623789900,1,0
2.623815900,1,1
2.623824600,1,0
2.623833200,1,1
2.623841900,1,0
2.623867900,1,1
2.623876500,1,0
2.623893800,1,1
2.623902500,1,0
2.623919800,1,1
2.623945800,1,0
2.623954400,1,1
2.623963100,1,0
2.623971800,1,1
2.623980400,1,0
2.624041000,1,1
2.624049700,1,0
2.624075700,1,1
2.624084400,1,0
2.624110300,1,1
2.624136300,1,0
2.624145000,1,1
2.624153700,1,0
2.624162300,1,1
2.624188300,1,0
2.624197000,1,1
2.624205600,1,0
2.624214300,1,1
2.624223000,1,0
2.624240300,1,1
2.624274900,1,0
2.624283600,1,1
2.624292200,1,0
2.624300900,1,1
2.624309600,1,0
2.624318200,1,1
2.624335500,1,0
2.624352900,1,1
2.624370200,1,0
2.624387500,1,1
2.624396200,1,0
2.624404800,1,1
2.624439600,1,0
2.624456900,1,1
2.624482900,1,0
2.624500300,1,1
2.624543600,1,0
2.624560900,1,1
2.624569600,1,0
2.624586900,1,1
2.624612900,1,0
2.624621500,1,1
2.624630200,1,0
2.624638800,1,1
2.624656100,1,0
2.624664800,1,1
2.624673400,1,0
2.624682100,1,1
2.624708100,1,0
2.624725400,1,1
2.624742700,1,0
2.624760000,1,1
2.624768700,1,0
2.624786000,1,1
2.624794700,1,0
2.624803400,1,1
2.624829400,1,0
2.624855300,1,1
2.624864000,1,0
2.624872700,1,1
2.624881400,1,0
2.624907400,1,1
2.624916100,1,0
2.624924700,1,1
2.624933400,1,0
2.624950700,1,1
2.624959400,1,0
2.624968100,1,1
2.624976800,1,0
2.624994100,1,1
2.625002800,1,0
2.625011500,1,1
2.625037500,1,0
2.625046100,1,1
2.625089500,1,0
2.625106800,1,1
2.625115500,1,0
2.625150200,1,1
2.625176200,1,0
2.625193500,1,1
2.625210800,1,0
2.625219500,1,1
2.625228200,1,0
2.625236800,1,1
2.625262800,1,0
2.625280200,1,1
2.625297500,1,0
2.625306200,1,1
2.625314800,1,0
2.625332200,1,1
2.625349600,1,0
2.625366900,1,1
2.625384300,1,0
2.625393000,1,1
2.625410300,1,0
2.625427600,1,1
2.625436300,1,0
2.625453700,1,1
2.625462300,1,0
2.625471000,1,1
2.625505700,1,0
2.625514300,1,1
2.625523000,1,0
2.625531700,1,1
2.625540300,1,0
2.625549000,1,1
2.625557700,1,0
2.625583700,1,1
2.625609700,1,0
2.625618300,1,1
2.625627000,1,0
2.625644400,1,1
2.625679000,1,0
2.625687700,1,1
2.625696400,1,0
2.625705000,1,1
2.625713700,1,0
2.625722400,1,1
2.625731100,1,0
2.625774400,1,1
2.625783100,1,0
2.625791700,1,1
2.625835100,1,0
2.625843700,1,1
2.625869700,1,0
2.625887100,1,1
2.625904400,1,0
2.625913100,1,1
2.625921700,1,0
2.625939100,1,1
2.625956400,1,0
2.625965100,1,1
2.625973800,1,0
2.625999800,1,1
2.626043100,1,0
2.626051800,1,1
2.626060400,1,0
2.626086500,1,1
2.626095100,1,0
2.626103800,1,1
2.626129800,1,0
2.626138500,1,1
2.626147200,1,0
2.626155800,1,1
2.626173200,1,0
2.626181800,1,1
2.626190500,1,0
2.626207800,1,1
2.626216500,1,0
2.626242500,1,1
2.626251200,1,0
2.626259800,1,1
2.626277200,1,0
2.626294500,1,1
3.092257500,0,1
3.092266100,1,1
3.092283500,0,1
3.092309400,1,1
3.092326800,0,1
3.092335400,1,1
3.092389200,1,0
3.092415100,1,1
3.092423800,1,0
3.092441100,1,1
3.092458400,1,0
3.092467000,1,1
3.092475700,1,0
3.092484300,1,1
3.092562200,1,0
3.092570900,1,1
3.092648800,1,0
3.092657500,1,1
3.092735400,1,0
3.092744000,1,1
3.092821900,1,0
3.092830500,1,1
3.092908500,1,0
3.092917100,1,1
3.092995000,1,0
3.093003600,1,1
3.093081500,1,0
3.093090100,1,1
3.093168100,1,0
3.093176800,1,1
3.093254700,1,0
3.093263300,1,1
3.093341200,1,0
3.093349900,1,1
3.093427800,1,0
3.093436400,1,1
3.093514300,1,0
3.093523000,1,1
3.093600900,1,0
3.093609600,1,1
3.093687500,1,0
3.093696100,1,1
3.093774100,1,0
3.093782700,1,1
3.093860700,1,0
3.093869300,1,1
3.093947200,1,0
3.093955800,1,1
3.094033800,1,0
3.094042400,1,1
3.094120300,1,0
3.094129000,1,1
3.094206900,1,0
3.094215600,1,1
3.094293500,1,0
3.094302200,1,1
3.094380100,1,0
3.094388800,1,1
3.094466700,1,0
3.094475300,1,1
3.094553300,1,0
3.094561900,1,1
3.094639900,1,0
3.094648500,1,1
3.094726500,1,0
3.094735100,1,1
3.094813000,1,0
3.094821600,1,1
3.094899500,1,0
3.094908200,1,1
3.094986100,1,0
3.094994700,1,1
3.095072700,1,0
3.095081300,1,1
3.095159300,1,0
3.095167900,1,1
3.095245900,1,0
3.095254500,1,1
3.095332500,1,0
3.095341100,1,1
3.095419100,1,0
3.095427700,1,1
3.095505600,1,0
3.095514300,1,1
3.095592200,1,0
3.095600900,1,1
3.095678800,1,0
3.095687500,1,1
3.095765400,1,0
3.095774000,1,1
3.095852000,1,0
3.095860600,1,1
3.095938600,1,0
3.095947200,1,1
3.096025200,1,0
3.096033800,1,1
3.096111700,1,0
3.096120400,1,1
3.096198300,1,0
3.096206900,1,1
3.096284900,1,0
3.096293500,1,1
3.096371500,1,0
3.096380100,1,1
3.096458100,1,0
3.096466700,1,1
3.096544700,1,0
3.096553400,1,1
3.096631300,1,0
3.096640000,1,1
3.096717900,1,0
3.096726600,1,1
3.096804500,1,0
3.096813200,1,1
3.096891100,1,0
3.096899800,1,1
3.096977700,1,0
3.096986400,1,1
3.097064300,1,0
3.097073000,1,1
3.097151000,1,0
3.097159600,1,1
3.097237600,1,0
3.097246200,1,1
3.097324100,1,0
3.097332800,1,1
3.097410700,1,0
3.097419400,1,1
3.097497300,1,0
3.097505900,1,1
3.097583900,1,0
3.097592500,1,1
3.097670500,1,0
3.097679200,1,1
3.097757100,1,0
3.097765700,1,1
3.097843600,1,0
3.097852300,1,1
3.097930200,1,0
3.097938800,1,1
3.098016800,1,0
3.098025400,1,1
3.098103400,1,0
3.098112000,1,1
3.098190000,1,0
3.098198600,1,1
3.098276600,1,0
3.098285200,1,1
3.098363100,1,0
3.098371800,1,1
3.098449700,1,0
3.098458400,1,1
3.098536300,1,0
3.098545000,1,1
3.098622900,1,0
3.098631500,1,1
3.098709500,1,0
3.098718100,1,1
3.098796000,1,0
3.098804700,1,1
3.098882600,1,0
3.098891200,1,1
3.098969200,1,0
3.098977800,1,1
3.099055800,1,0
3.099064400,1,1
3.099142300,1,0
3.099150900,1,1
3.099228900,1,0
3.099237500,1,1
3.099315400,1,0
3.099324000,1,1
3.099401900,1,0
3.099410600,1,1
3.099488500,1,0
3.099497200,1,1
3.099575100,1,0
3.099583700,1,1
3.099661700,1,0
3.099670300,1,1
3.099748300,1,0
3.099756900,1,1
3.099834900,1,0
3.099843500,1,1
3.099921500,1,0
3.099930100,1,1
3.100008100,1,0
3.100016700,1,1
3.100094600,1,0
3.100103300,1,1
3.100181200,1,0
3.100189900,1,1
3.100267800,1,0
3.100276500,1,1
3.100354400,1,0
