Time [s],Channel 1,Channel 2
0.000000000,1,1
2.285942200,1,0
2.285959600,1,1
2.285977000,1,0
2.285985600,1,1
2.285994300,1,0
2.286003000,1,1
2.286011700,1,0
2.286020400,1,1
2.286029100,1,0
2.286081100,1,1
2.286089800,1,0
2.286107200,1,1
2.286115900,1,0
2.286194000,1,1
2.286202700,1,0
2.286280800,1,1
2.286289500,1,0
2.286367600,1,1
2.286376300,1,0
2.286385000,1,1
2.286402300,1,0
2.286454400,1,1
2.286463100,1,0
2.286471800,1,1
2.286515200,1,0
2.286532600,1,1
2.286549900,1,0
2.286558600,1,1
2.286567300,1,0
2.286576000,1,1
2.286584700,1,0
2.286593300,1,1
2.286602000,1,0
2.286610700,1,1
2.286619400,1,0
2.286628000,1,1
2.286636700,1,0
2.286654100,1,1
2.286662800,1,0
2.286671500,1,1
2.286680100,1,0
2.286688800,1,1
2.286706200,1,0
2.286714900,1,1
2.286723600,1,0
2.286758300,1,1
2.286775600,1,0
2.286784300,1,1
2.286793000,1,0
2.286801700,1,1
2.286810400,1,0
2.286827700,1,1
2.286845100,1,0
2.286888500,1,1
2.286897200,1,0
2.286914500,1,1
2.286923200,1,0
2.286949300,1,1
2.286957900,1,0
2.286966600,1,1
2.286984000,1,0
2.286992700,1,1
2.287001400,1,0
2.287018700,1,1
2.287044800,1,0
2.287062100,1,1
2.287070800,1,0
2.287079500,1,1
2.287096800,1,0
2.287114200,1,1
2.287122900,1,0
2.287131600,1,1
2.287157600,1,0
2.287166300,1,1
2.287183700,1,0
2.287201000,1,1
2.287209700,1,0
2.287227100,1,1
2.287244400,1,0
2.287261800,1,1
2.287287800,1,0
2.287296500,1,1
2.287305200,1,0
2.287313900,1,1
2.287331200,1,0
2.287339900,1,1
2.287348600,1,0
2.287357300,1,1
2.287374600,1,0
2.287400700,1,1
2.287418100,1,0
2.287444100,1,1
2.287470100,1,0
2.287478800,1,1
2.287487500,1,0
2.287496200,1,1
2.287504900,1,0
2.287522200,1,1
2.287565600,1,0
2.287574300,1,1
2.287591700,1,0
2.287609000,1,1
2.287643800,1,0
2.287661100,1,1
2.287678500,1,0
2.287695800,1,1
2.287730600,1,0
2.287747900,1,1
2.287765300,1,0
2.287774000,1,1
2.287791300,1,0
2.287808700,1,1
2.287826100,1,0
2.287843400,1,1
2.287852100,1,0
2.287878200,1,1
2.287904200,1,0
2.287930200,1,1
2.287938900,1,0
2.287947600,1,1
2.287973700,1,0
2.287982300,1,1
2.288008400,1,0
2.288017100,1,1
2.288025700,1,0
2.288043100,1,1
2.288069100,1,0
2.288077800,1,1
2.288086500,1,0
2.288103900,1,1
2.288112600,1,0
2.288147300,1,1
2.288173300,1,0
2.288182000,1,1
2.288199400,1,0
2.288225400,1,1
2.288234100,1,0
2.288277500,1,1
2.288286200,1,0
2.288294900,1,1
2.288303600,1,0
2.288312200,1,1
2.288320900,1,0
2.288329600,1,1
2.288347000,1,0
2.288355600,1,1
2.288373000,1,0
2.288407700,1,1
2.288425100,1,0
2.288451100,1,1
2.288459800,1,0
2.288468500,1,1
2.288477200,1,0
2.288494500,1,1
2.288529300,1,0
2.288537900,1,1
2.288546600,1,0
2.288555300,1,1
2.288564000,1,0
2.288572700,1,1
2.288581400,1,0
2.288598700,1,1
2.288616100,1,0
2.288624700,1,1
2.288633400,1,0
2.288642100,1,1
2.288659500,1,0
2.288694200,1,1
2.288702900,1,0
2.288711600,1,1
2.288720300,1,0
2.288737600,1,1
2.288755000,1,0
2.288763600,1,1
2.288789700,1,0
2.288798400,1,1
2.288807100,1,0
2.288815700,1,1
2.288824400,1,0
2.288833100,1,1
2.288850500,1,0
2.288859100,1,1
2.288969700,0,1
2.288987100,1,1
2.289004500,0,1
2.289013100,1,1
2.289021800,0,1
2.289030500,1,1
2.289039200,0,1
2.289047900,1,1
2.289056500,0,1
2.289091300,1,1
2.289100000,0,1
2.289117300,1,1
2.289126000,0,1
2.289134700,1,1
2.289143400,0,1
2.289152000,1,1
2.289195400,0,1
2.289212800,1,1
2.289230200,0,1
2.289238900,1,1
2.289247500,0,1
2.289256200,1,1
2.289264900,0,1
2.289273600,1,1
2.289282300,0,1
2.289290900,1,1
2.289299600,0,1
2.289308300,1,1
2.289317000,0,1
2.289334300,1,1
2.289343000,0,1
2.289351700,1,1
2.289360400,0,1
2.289369100,1,1
2.289386400,0,1
2.289395100,1,1
2.289403800,0,1
2.289438500,1,1
2.289455900,0,1
2.289464600,1,1
2.289473300,0,1
2.289481900,1,1
2.289490600,0,1
2.289508000,1,1
2.289525300,0,1
2.289568700,1,1
2.289577400,0,1
2.289594800,1,1
2.289603500,0,1
2.289629500,1,1
2.289638200,0,1
2.289646900,1,1
2.289664200,0,1
2.289672900,1,1
2.289681600,0,1
2.289699000,1,1
2.289725000,0,1
2.289742400,1,1
2.289751100,0,1
2.289759700,1,1
2.289777100,0,1
2.289794500,1,1
2.289803100,0,1
2.289811800,1,1
2.289837900,0,1
2.289846500,1,1
2.289863900,0,1
2.289881300,1,1
2.289890000,0,1
2.289907300,1,1
2.289924700,0,1
2.289942000,1,1
2.289968100,0,1
2.289976800,1,1
2.289985500,0,1
2.289994100,1,1
2.290011500,0,1
2.290020200,1,1
2.290028900,0,1
2.290037500,1,1
2.290054900,0,1
2.290080900,1,1
2.290098300,0,1
2.290124300,1,1
2.290150400,0,1
2.290159100,1,1
2.290167800,0,1
2.290176400,1,1
2.290185100,0,1
2.290202500,1,1
2.290245900,0,1
2.290254600,1,1
2.290271900,0,1
2.290289300,1,1
2.290324000,0,1
2.290341400,1,1
2.290358700,0,1
2.290376100,1,1
2.290410800,0,1
2.290428200,1,1
2.290445600,0,1
2.290454200,1,1
2.290471600,0,1
2.290489000,1,1
2.290506300,0,1
2.290523700,1,1
2.290532400,0,1
2.290558400,1,1
2.290584500,0,1
2.290610500,1,1
2.290619200,0,1
2.290627900,1,1
2.290653900,0,1
2.290662600,1,1
2.290688600,0,1
2.290697300,1,1
2.290706000,0,1
2.290723400,1,1
2.290749400,0,1
2.290758100,1,1
2.290766800,0,1
2.290784100,1,1
2.290792800,0,1
2.290827500,1,1
2.290853600,0,1
2.290862300,1,1
2.290879600,0,1
2.290905700,1,1
2.290914300,0,1
2.290957800,1,1
2.290966400,0,1
2.290975100,1,1
2.290983800,0,1
2.290992500,1,1
2.291001200,0,1
2.291009800,1,1
2.291027200,0,1
2.291035900,1,1
2.291053200,0,1
2.291088000,1,1
2.291105300,0,1
2.291131400,1,1
2.291140100,0,1
2.291148700,1,1
2.291157400,0,1
2.291174800,1,1
2.291209500,0,1
2.291218200,1,1
2.291226900,0,1
2.291235600,1,1
2.291244200,0,1
2.291252900,1,1
2.291261600,0,1
2.291279000,1,1
2.291296300,0,1
2.291305000,1,1
2.291313700,0,1
2.291322400,1,1
2.291339700,0,1
2.291374500,1,1
2.291383100,0,1
2.291391800,1,1
2.291400500,0,1
2.291417900,1,1
2.291435200,0,1
2.291443900,1,1
2.291470000,0,1
2.291478600,1,1
2.291487300,0,1
2.291496000,1,1
2.291504700,0,1
2.291513400,1,1
2.291530700,0,1
2.291539400,1,1
2.291574100,0,1
2.291582800,1,1
2.291591500,0,1
2.291600200,1,1
2.291608900,0,1
2.291617500,1,1
2.291626200,0,1
2.291634900,1,1
2.291660900,0,1
2.291669600,1,1
2.291695700,0,1
2.291704300,1,1
2.291747800,0,1
2.291782500,1,1
2.291799800,0,1
2.291808500,1,1
2.291834600,0,1
2.291843200,1,1
2.291851900,0,1
2.291860600,1,1
2.291869300,0,1
2.291878000,1,1
2.291895300,0,1
2.291904000,1,1
2.291921400,0,1
2.291938700,1,1
