Time [s],Channel 1,Channel 2
0.000000000,1,1
2.679713500,1,0
2.679722200,1,1
2.679739600,1,0
2.679774300,1,1
2.679783000,1,0
2.679791700,1,1
2.679800400,1,0
2.679809100,1,1
2.679826500,1,0
2.679835200,1,1
2.679843900,1,0
2.679852500,1,1
2.679861200,1,0
2.679869900,1,1
2.679887300,1,0
2.679904700,1,1
2.679922000,1,0
2.679930700,1,1
2.679939400,1,0
2.679948100,1,1
2.679956800,1,0
2.679965500,1,1
2.679974200,1,0
2.679982800,1,1
2.679991500,1,0
2.680052400,1,1
2.680061000,1,0
2.680069700,1,1
2.680078400,1,0
2.680095800,1,1
2.680113200,1,0
2.680121800,1,1
2.680130500,1,0
2.680139200,1,1
2.680147900,1,0
2.680191400,1,1
2.680200000,1,0
2.680208700,1,1
2.680234800,1,0
2.680243500,1,1
2.680252200,1,0
2.680269500,1,1
2.680278200,1,0
2.680286900,1,1
2.680295600,1,0
2.680313000,1,1
2.680321700,1,0
2.680356400,1,1
2.680365100,1,0
2.680391200,1,1
2.680408500,1,0
2.680425900,1,1
2.680443300,1,0
2.680460700,1,1
2.680469400,1,0
2.680486700,1,1
2.680495400,1,0
2.680512800,1,1
2.680530200,1,0
2.680547500,1,1
2.680556200,1,0
2.680573600,1,1
2.680582300,1,0
2.680591000,1,1
2.680599700,1,0
2.680608400,1,1
2.680617000,1,0
2.680643100,1,1
2.680651800,1,0
2.680660500,1,1
2.680669200,1,0
2.680695200,1,1
2.680703900,1,0
2.680747400,1,1
2.680756000,1,0
2.680773400,1,1
2.680790800,1,0
2.680808200,1,1
2.680816900,1,0
2.680834200,1,1
2.680842900,1,0
2.680860300,1,1
2.680869000,1,0
2.680877700,1,1
2.680886400,1,0
2.680912400,1,1
2.680929800,1,0
2.680938500,1,1
2.680947200,1,0
2.680955900,1,1
2.680990600,1,0
2.680999300,1,1
2.681016700,1,0
2.681042700,1,1
2.681051400,1,0
2.681060100,1,1
2.681068800,1,0
2.681094900,1,1
2.681103500,1,0
2.681112200,1,1
2.681138300,1,0
2.681147000,1,1
2.681164400,1,0
2.681173000,1,1
2.681190400,1,0
2.681199100,1,1
2.681233900,1,0
2.681251200,1,1
2.681259900,1,0
2.681268600,1,1
2.681277300,1,0
2.681286000,1,1
2.681303400,1,0
2.681329400,1,1
2.681338100,1,0
2.681355500,1,1
2.681364200,1,0
2.681372900,1,1
2.681381500,1,0
2.681407600,1,1
2.681451000,1,0
2.681468400,1,1
2.681485800,1,0
2.681503200,1,1
2.681520500,1,0
2.681529200,1,1
2.681537900,1,0
2.681555300,1,1
2.681607400,1,0
2.681616100,1,1
2.681624800,1,0
2.681642200,1,1
2.681650900,1,0
2.681659500,1,1
2.681676900,1,0
2.681685600,1,1
2.681711700,1,0
2.681737700,1,1
2.681746400,1,0
2.681755100,1,1
2.681798600,1,0
2.681807200,1,1
2.681824600,1,0
2.681842000,1,1
2.681859400,1,0
2.681876700,1,1
2.681885400,1,0
2.681902800,1,1
2.681911500,1,0
2.681928900,1,1
2.681972300,1,0
2.681981000,1,1
2.682007100,1,0
2.682033100,1,1
2.682041800,1,0
2.682050500,1,1
2.682059200,1,0
2.682076500,1,1
2.682085200,1,0
2.682093900,1,1
2.682120000,1,0
2.682137400,1,1
2.682146100,1,0
2.682189500,1,1
2.682198200,1,0
2.682206900,1,1
2.682215600,1,0
2.682224200,1,1
2.682232900,1,0
2.682241600,1,1
2.682250300,1,0
2.682259000,1,1
2.682302400,1,0
2.682311100,1,1
2.682319800,1,0
2.682328500,1,1
2.682337200,1,0
2.682345900,1,1
2.682354600,1,0
2.682363200,1,1
2.682389300,1,0
2.682398000,1,1
2.682406700,1,0
2.682415400,1,1
2.682432700,1,0
2.682450100,1,1
2.682476200,1,0
2.682484900,1,1
2.682493600,1,0
2.682502200,1,1
2.682528300,1,0
2.682545700,1,1
2.682580400,1,0
2.682589100,1,1
2.682606500,1,0
2.682615200,1,1
2.682649900,1,0
2.682658600,1,1
2.682667300,1,0
2.682676000,1,1
2.682710700,1,0
2.682736800,1,1
2.682754200,1,0
2.682762900,1,1
2.682771600,1,0
2.682806300,1,1
2.682815000,1,0
2.682832400,1,1
2.682841100,1,0
2.682849700,1,1
2.682858400,1,0
2.682867100,1,1
2.682875800,1,0
2.682893200,1,1
2.682910600,1,0
2.682919200,1,1
2.682927900,1,0
2.682936600,1,1
2.682945300,1,0
2.682954000,1,1
2.682962700,1,0
2.682980100,1,1
2.682988700,1,0
2.683006100,1,1
2.683014800,1,0
2.683023500,1,1
2.683066900,1,0
2.683093000,1,1
2.683101700,1,0
2.683162500,1,1
2.683171200,1,0
2.683179900,1,1
2.683188600,1,0
2.683205900,1,1
2.683214600,1,0
2.683232000,1,1
2.683240700,1,0
2.683266700,1,1
2.683275400,1,0
2.683301500,1,1
2.683310200,1,0
2.683353600,1,1
2.683362300,1,0
2.683405700,1,1
2.683414400,1,0
2.683431800,1,1
2.683449200,1,0
2.683457900,1,1
2.683483900,1,0
2.683527400,1,1
2.683536100,1,0
2.683553400,1,1
2.683570800,1,0
2.683579500,1,1
2.683596900,1,0
2.683605600,1,1
2.683622900,1,0
2.683640300,1,1
2.683657700,1,0
2.683675100,1,1
2.683692400,1,0
2.683701100,1,1
2.683709800,1,0
2.683727200,1,1
2.683735900,1,0
2.683744600,1,1
2.683761900,1,0
2.683788000,1,1
2.683796700,1,0
2.683805400,1,1
2.683822700,1,0
2.683831400,1,1
2.683848800,1,0
2.683874900,1,1
2.683883600,1,0
2.683909600,1,1
2.683918300,1,0
2.683927000,1,1
2.683935700,1,0
2.683944400,1,1
2.683970400,1,0
2.683979100,1,1
2.683987800,1,0
2.683996500,1,1
2.684013900,1,0
2.684022600,1,1
2.684031300,1,0
2.684048600,1,1
2.684057300,1,0
2.684066000,1,1
2.684083400,1,0
2.684092100,1,1
2.684100800,1,0
2.684118100,1,1
2.684144200,1,0
2.684170200,1,1
2.684205000,1,0
2.684222400,1,1
2.684231100,1,0
2.684274500,1,1
2.684283200,1,0
2.684309200,1,1
2.684317900,1,0
2.684326600,1,1
2.684335300,1,0
2.684344000,1,1
2.684361400,1,0
2.684370100,1,1
2.684404800,1,0
2.684422200,1,1
2.684430900,1,0
2.684456900,1,1
2.684474300,1,0
2.684483000,1,1
2.684491700,1,0
2.684509100,1,1
2.684517800,1,0
2.684526400,1,1
2.684535100,1,0
2.684552500,1,1
2.684578600,1,0
2.684587200,1,1
2.684595900,1,0
2.684604600,1,1
2.684630700,1,0
2.684648100,1,1
2.684665400,1,0
2.684700200,1,1
2.684717600,1,0
2.684734900,1,1
2.684752300,1,0
2.684769700,1,1
2.684778400,1,0
2.684830500,1,1
2.684839200,1,0
2.684847900,1,1
2.684882600,1,0
2.684891300,1,1
2.684926100,1,0
2.684943400,1,1
2.684952100,1,0
2.685004300,1,1
2.685012900,1,0
2.685030300,1,1
2.685039000,1,0
2.685047700,1,1
2.685065100,1,0
2.685091100,1,1
2.685099800,1,0
2.685108500,1,1
2.685125900,1,0
2.685134600,1,1
2.685151900,1,0
2.685178000,1,1
2.685186700,1,0
2.685195400,1,1
2.685204100,1,0
2.685212800,1,1
2.685221400,1,0
2.685238800,1,1
2.685247500,1,0
2.685264900,1,1
2.685273600,1,0
2.685299600,1,1
2.685325700,1,0
2.685334400,1,1
2.685343100,1,0
2.685351800,1,1
2.685360400,1,0
2.685395200,1,1
2.685412600,1,0
2.685429900,1,1
2.685447300,1,0
2.685464700,1,1
2.685482100,1,0
2.685499400,1,1
2.685508100,1,0
2.685516800,1,1
2.685534200,1,0
2.685551600,1,1
2.685560300,1,0
2.685568900,1,1
2.685586300,1,0
2.685595000,1,1
2.945040800,0,1
2.945049500,1,1
2.945066900,0,1
2.945084300,1,1
2.945101600,0,1
2.945119000,1,1
2.945127700,0,1
2.945179800,1,1
2.945214600,0,1
2.945223300,1,1
2.945266700,0,1
2.945275400,1,1
2.945284100,0,1
2.945292800,1,1
2.945301500,0,1
2.945344900,1,1
2.945353600,0,1
2.945362300,1,1
2.945388300,0,1
2.945405700,1,1
2.945440500,0,1
2.945449100,1,1
2.945457800,0,1
2.945466500,1,1
2.945475200,0,1
2.945527300,1,1
2.945544700,0,1
2.945553400,1,1
2.945562100,0,1
2.945579500,1,1
2.945614200,0,1
2.945631600,1,1
2.945649000,0,1
2.945657600,1,1
2.945675000,0,1
2.945692400,1,1
2.945701100,0,1
2.945727100,1,1
2.945735800,0,1
2.945744500,1,1
2.945761900,0,1
2.945814000,1,1
2.945822700,0,1
2.945831400,1,1
2.945840100,0,1
2.945866100,1,1
2.945874800,0,1
2.945883500,1,1
2.945892200,0,1
2.945900900,1,1
2.945909600,0,1
2.945918300,1,1
2.945935700,0,1
2.945944300,1,1
2.945996500,0,1
2.946013800,1,1
2.946039900,0,1
2.946066000,1,1
2.946083300,0,1
2.946092000,1,1
2.946100700,0,1
2.946135500,1,1
2.946152800,0,1
2.946161500,1,1
2.946170200,0,1
