Time [s],Channel 1,Channel 2
0.000000000,1,1
2.487133800,1,0
2.487151100,1,1
2.487168500,1,0
2.487177200,1,1
2.487185900,1,0
2.487194600,1,1
2.487203300,1,0
2.487212000,1,1
2.487220700,1,0
2.487264100,1,1
2.487272800,1,0
2.487298800,1,1
2.487307500,1,0
2.487333600,1,1
2.487359700,1,0
2.487368300,1,1
2.487394400,1,0
2.487403100,1,1
2.487411800,1,0
2.487420500,1,1
2.487429200,1,0
2.487437800,1,1
2.487446500,1,0
2.487463900,1,1
2.487481300,1,0
2.487498600,1,1
2.487507300,1,0
2.487516000,1,1
2.487542100,1,0
2.487559500,1,1
2.487568200,1,0
2.487576800,1,1
2.487594200,1,0
2.487602900,1,1
2.487611600,1,0
2.487646300,1,1
2.487655000,1,0
2.487663700,1,1
2.487672400,1,0
2.487681100,1,1
2.487689800,1,0
2.487698500,1,1
2.487741900,1,0
2.487750600,1,1
2.487828800,1,0
2.487837500,1,1
2.487846200,1,0
2.487854800,1,1
2.487863500,1,0
2.487889600,1,1
2.487915700,1,0
2.487941700,1,1
2.487976500,1,0
2.487993800,1,1
2.488002500,1,0
2.488011200,1,1
2.488019900,1,0
2.488028600,1,1
2.488037300,1,0
2.488063300,1,1
2.488089400,1,0
2.488132800,1,1
2.488150200,1,0
2.488167600,1,1
2.488176300,1,0
2.488185000,1,1
2.488202300,1,0
2.488211000,1,1
2.488228400,1,0
2.488237100,1,1
2.488245800,1,0
2.488254500,1,1
2.488263200,1,0
2.488280500,1,1
2.488289200,1,0
2.488341300,1,1
2.488350000,1,0
2.488367400,1,1
2.488384800,1,0
2.488393500,1,1
2.488402200,1,0
2.488428200,1,1
2.488436900,1,0
2.488463000,1,1
2.488480300,1,0
2.488489000,1,1
2.488506400,1,0
2.488515100,1,1
2.488523800,1,0
2.488541100,1,1
2.488558500,1,0
2.488567200,1,1
2.488575900,1,0
2.488584600,1,1
2.488610700,1,0
2.488628000,1,1
2.488636700,1,0
2.488645400,1,1
2.488654100,1,0
2.488662800,1,1
2.490126200,0,1
2.490143600,1,1
2.490161000,0,1
2.490169600,1,1
2.490178300,0,1
2.490187000,1,1
2.490195700,0,1
2.490204400,1,1
2.490213100,0,1
2.490265200,1,1
2.490273900,0,1
2.490291300,1,1
2.490300000,0,1
2.490326000,1,1
2.490352100,0,1
2.490360800,1,1
2.490386800,0,1
2.490395500,1,1
2.490404200,0,1
2.490412900,1,1
2.490421600,0,1
2.490430300,1,1
2.490439000,0,1
2.490456300,1,1
2.490473700,0,1
2.490491100,1,1
2.490499800,0,1
2.490508500,1,1
2.490534500,0,1
2.490551900,1,1
2.490560600,0,1
2.490569300,1,1
2.490586600,0,1
2.490595300,1,1
2.490604000,0,1
2.490638800,1,1
2.490647500,0,1
2.490656100,1,1
2.490664800,0,1
2.490673500,1,1
2.490682200,0,1
2.490690900,1,1
2.490734300,0,1
2.490743000,1,1
2.490821200,0,1
2.490829900,1,1
2.490838600,0,1
2.490847300,1,1
2.490856000,0,1
2.490882000,1,1
2.490908100,0,1
2.490934100,1,1
2.490968900,0,1
2.490986300,1,1
2.490995000,0,1
2.491003600,1,1
2.491012300,0,1
2.491021000,1,1
2.491029700,0,1
2.491055800,1,1
2.491081800,0,1
2.491125300,1,1
2.491142700,0,1
2.491160000,1,1
2.491168700,0,1
2.491177400,1,1
2.491194800,0,1
2.491203500,1,1
2.491220800,0,1
2.491229500,1,1
2.491238200,0,1
2.491246900,1,1
2.491255600,0,1
2.491273000,1,1
2.491281700,0,1
2.491333800,1,1
2.491342500,0,1
2.491359800,1,1
2.491377200,0,1
2.491385900,1,1
2.491394600,0,1
2.491420600,1,1
2.491429300,0,1
2.491455400,1,1
2.491472800,0,1
2.491481500,1,1
2.491498800,0,1
2.491507500,1,1
2.491516200,0,1
2.491533600,1,1
2.491551000,0,1
2.491559600,1,1
2.491568300,0,1
2.491577000,1,1
2.491603100,0,1
2.491620500,1,1
2.491629200,0,1
2.491637800,1,1
2.491646500,0,1
2.491655200,1,1
2.491690000,0,1
2.491698600,1,1
2.491776800,0,1
2.491785500,1,1
2.491863700,0,1
2.491872400,1,1
2.491950600,0,1
2.491959300,1,1
2.492037500,0,1
2.492046200,1,1
2.492124300,0,1
2.492133000,1,1
2.492211200,0,1
2.492219900,1,1
2.492298100,0,1
2.492306800,1,1
2.492385000,0,1
2.492393700,1,1
2.492471900,0,1
2.492480500,1,1
2.492558700,0,1
2.492567400,1,1
2.492645600,0,1
2.492654300,1,1
2.492732500,0,1
2.492741200,1,1
2.492819400,0,1
2.492828000,1,1
2.492906200,0,1
2.492914900,1,1
2.492993100,0,1
2.493001800,1,1
2.494470400,1,0
2.494487700,1,1
2.494505100,1,0
2.494513800,1,1
2.494522500,1,0
2.494531200,1,1
2.494539900,1,0
2.494548600,1,1
2.494557300,1,0
2.494600700,1,1
2.494609400,1,0
2.494635400,1,1
2.494644100,1,0
2.494670200,1,1
2.494678900,1,0
2.494687600,1,1
2.494696300,1,0
2.494704900,1,1
2.494713600,1,0
2.494722300,1,1
2.494731000,1,0
2.494748400,1,1
2.494774400,1,0
2.494791800,1,1
2.494817900,1,0
