Time [s],Channel 1,Channel 2
0.000000000,1,1
2.594501400,1,0
2.594544900,1,1
2.594562200,1,0
2.594579600,1,1
2.594588300,1,0
2.594597000,1,1
2.594631700,1,0
2.594640400,1,1
2.594657800,1,0
2.594666500,1,1
2.594675200,1,0
2.594718600,1,1
2.594744700,1,0
2.594753400,1,1
2.594762100,1,0
2.594770700,1,1
2.594788100,1,0
2.594805500,1,1
2.594831600,1,0
2.594840200,1,1
2.594852200,1,0
2.594860900,1,1
2.594878200,1,0
2.594904300,1,1
2.594921700,1,0
2.594930400,1,1
2.594944100,0,1
2.594952700,1,1
2.594961400,0,1
2.595004900,1,1
2.595013600,0,1
2.595022200,1,1
2.595034100,1,0
2.595068800,1,1
2.595077500,1,0
2.595094900,1,1
2.595103600,1,0
2.595112200,1,1
2.595125800,1,0
2.595204000,1,1
2.595217100,1,0
2.595295200,1,1
2.595308200,1,0
2.595386400,1,1
2.595399500,1,0
2.595477700,1,1
2.595490700,1,0
2.595568900,1,1
2.595581900,1,0
2.595660100,1,1
2.595673100,1,0
2.595681800,1,1
2.595690500,1,0
2.595699200,1,1
2.595716600,1,0
2.595725200,1,1
2.595733900,1,0
2.595751300,1,1
2.595765600,0,1
2.595774200,1,1
2.595782900,0,1
2.595826400,1,1
2.595835100,0,1
2.595843700,1,1
2.595855600,1,0
2.595872900,1,1
2.595881600,1,0
2.595890300,1,1
2.595899000,1,0
2.595933700,1,1
2.595946800,1,0
2.595981500,1,1
2.595990200,1,0
2.596025000,1,1
2.596038000,1,0
2.596055400,1,1
2.596064100,1,0
2.596090100,1,1
2.596098800,1,0
2.596107500,1,1
2.596129200,1,0
2.596137900,1,1
2.596155300,1,0
2.596190100,1,1
2.596220400,1,0
2.596229100,1,1
2.596237800,1,0
2.596263900,1,1
2.596272600,1,0
2.596281200,1,1
2.596311700,1,0
2.596337700,1,1
2.596355100,1,0
2.596363800,1,1
2.596372500,1,0
2.596381200,1,1
2.596403400,1,0
2.596420800,1,1
2.596429500,1,0
2.596446900,1,1
2.596472900,1,0
2.596481600,1,1
2.596494600,1,0
2.596512000,1,1
2.596538100,1,0
2.596555400,1,1
2.596564100,1,0
2.596572800,1,1
2.596587100,0,1
2.596595700,1,1
2.596604400,0,1
2.596647900,1,1
2.596656600,0,1
2.596665200,1,1
2.596677100,1,0
2.596694400,1,1
2.596711800,1,0
2.596729200,1,1
2.596737900,1,0
2.596746600,1,1
2.596768300,1,0
2.596777000,1,1
2.596785700,1,0
2.596803100,1,1
2.596811800,1,0
2.596829100,1,1
2.596837800,1,0
2.596846500,1,1
2.596859500,1,0
2.596868200,1,1
2.596876900,1,0
2.596885600,1,1
2.596894300,1,0
2.596902900,1,1
2.596911600,1,0
2.596929000,1,1
2.596950800,1,0
2.596959400,1,1
2.596976800,1,0
2.596985500,1,1
2.597011600,1,0
2.597020200,1,1
2.597041900,1,0
2.597068000,1,1
2.597094100,1,0
2.597120100,1,1
2.597133200,1,0
2.597176600,1,1
2.597185300,1,0
2.597211400,1,1
2.597224400,1,0
2.597233100,1,1
2.597241800,1,0
2.597259100,1,1
2.597267800,1,0
2.597302600,1,1
2.597315600,1,0
2.597367700,1,1
2.597376400,1,0
2.597393800,1,1
2.597406400,0,1
2.597415100,1,1
2.597423800,0,1
2.597467200,1,1
2.597475900,0,1
2.597484600,1,1
2.597496400,1,0
2.597574600,1,1
2.597587600,1,0
2.597665800,1,1
2.597678900,1,0
2.597757100,1,1
2.597770100,1,0
2.597778700,1,1
2.597804800,1,0
2.597813500,1,1
2.597822200,1,0
2.597830900,1,1
2.597839600,1,0
2.597848200,1,1
2.597861300,1,0
2.597870000,1,1
2.597878700,1,0
2.597913400,1,1
2.597922100,1,0
2.597939500,1,1
2.597952500,1,0
2.597969900,1,1
2.597978600,1,0
2.597987200,1,1
2.598004600,1,0
2.598013300,1,1
2.598043800,1,0
2.598052400,1,1
2.598061100,1,0
2.598078500,1,1
2.598104600,1,0
2.598121900,1,1
2.598134900,1,0
2.598143600,1,1
2.598161000,1,0
2.598195700,1,1
2.598225800,0,1
2.598234400,1,1
2.598243100,0,1
2.598286600,1,1
2.598295300,0,1
2.598303900,1,1
2.598315800,1,0
2.598341800,1,1
2.598350500,1,0
2.598367900,1,1
2.598385300,1,0
2.598393900,1,1
2.598407000,1,0
2.598415700,1,1
2.598424400,1,0
2.598433100,1,1
2.598450400,1,0
2.598459100,1,1
2.598467800,1,0
2.598485200,1,1
2.598498200,1,0
2.598515600,1,1
2.598524300,1,0
2.598532900,1,1
2.598541600,1,0
2.598559000,1,1
2.598567700,1,0
2.598576400,1,1
2.598589500,1,0
2.598598100,1,1
2.598606800,1,0
2.598615500,1,1
2.598624200,1,0
2.598641600,1,1
2.598680600,1,0
2.598689300,1,1
2.598698000,1,0
2.598715400,1,1
2.598724100,1,0
2.598750100,1,1
2.598771900,1,0
2.598797900,1,1
2.598815300,1,0
2.598850100,1,1
2.598863100,1,0
2.598897800,1,1
2.598906500,1,0
2.598941300,1,1
2.598954300,1,0
2.598963000,1,1
2.598971700,1,0
2.599023800,1,1
2.599044600,0,1
2.599053300,1,1
2.599062000,0,1
2.599105400,1,1
2.599114100,0,1
2.599122800,1,1
2.599135100,1,0
2.599143800,1,1
2.599152500,1,0
2.599161200,1,1
2.599178600,1,0
2.599187300,1,1
2.599226300,1,0
2.599252400,1,1
2.599261100,1,0
2.599278400,1,1
2.599317600,1,0
2.599326300,1,1
2.599335000,1,0
2.599369700,1,1
2.599387100,1,0
2.599395800,1,1
2.599408800,1,0
2.599417400,1,1
2.599426100,1,0
2.599478300,1,1
2.599500000,1,0
2.599508700,1,1
2.599517400,1,0
2.599534800,1,1
2.599543500,1,0
2.599578200,1,1
2.599591200,1,0
2.599617300,1,1
2.599634600,1,0
2.599652000,1,1
2.599660700,1,0
2.599669400,1,1
2.599682500,1,0
2.599699800,1,1
2.599717200,1,0
2.599725900,1,1
2.599734600,1,0
2.599743300,1,1
2.599773600,1,0
2.599791000,1,1
2.599799700,1,0
2.599808400,1,1
2.599817100,1,0
2.599825800,1,1
2.599834500,1,0
2.599851800,1,1
2.599863900,0,1
2.599872600,1,1
2.599881300,0,1
2.599924700,1,1
2.599933400,0,1
2.599942100,1,1
2.599954500,1,0
2.599971800,1,1
2.599989200,1,0
2.599997900,1,1
2.600006600,1,0
2.600023900,1,1
2.600045700,1,0
2.600063100,1,1
2.600071800,1,0
2.600089100,1,1
2.600136900,1,0
2.600145600,1,1
2.600171600,1,0
2.600180300,1,1
2.600228100,1,0
2.600236800,1,1
