Time [s],Channel 1,Channel 2
0.000000000,1,1
2.589738500,1,0
2.589747100,1,1
2.589755800,1,0
2.589764500,1,1
2.589773200,1,0
2.589781900,1,1
2.589790600,1,0
2.589799200,1,1
2.589807900,1,0
2.589816600,1,1
2.589825300,1,0
2.589834000,1,1
2.589851300,1,0
2.589886000,1,1
2.589894700,1,0
2.589903400,1,1
2.593030000,0,1
2.593047400,1,1
2.593056100,0,1
2.593090800,1,1
2.593116800,0,1
2.593142900,1,1
2.593168900,0,1
2.593195000,1,1
2.593203600,0,1
2.593212300,1,1
2.593238400,0,1
2.593247000,1,1
2.593264400,0,1
2.593281800,1,1
2.593290500,0,1
2.593299100,1,1
2.593307800,0,1
2.593316500,1,1
2.593333900,0,1
2.593342500,1,1
2.593351200,0,1
2.593368600,1,1
2.593377300,0,1
2.593385900,1,1
2.593403300,0,1
2.593412000,1,1
2.593429400,0,1
2.593446700,1,1
2.593464100,0,1
2.593481400,1,1
2.593498800,0,1
2.593516200,1,1
2.593533500,0,1
2.593542200,1,1
2.593550900,0,1
2.593568200,1,1
2.593585600,0,1
2.593594300,1,1
2.593603000,0,1
2.593620300,1,1
2.593637700,0,1
2.593663700,1,1
2.593672400,0,1
2.593681100,1,1
2.593698500,0,1
2.593707100,1,1
2.593724500,0,1
2.593741900,1,1
2.593759200,0,1
2.593785300,1,1
2.593794000,0,1
2.593802600,1,1
2.593811300,0,1
2.593828700,1,1
2.593854700,0,1
2.593863400,1,1
2.593872100,0,1
2.593880800,1,1
2.593898100,0,1
2.593915500,1,1
2.593924200,0,1
2.593932900,1,1
2.593950200,0,1
2.593958900,1,1
2.593985000,0,1
2.594019700,1,1
2.594045700,0,1
2.594054400,1,1
2.594071800,0,1
2.594089100,1,1
2.594097800,0,1
2.594106500,1,1
2.594123900,0,1
2.594141200,1,1
2.594158600,0,1
2.594175900,1,1
2.594184600,0,1
2.594193300,1,1
2.594202000,0,1
2.594219300,1,1
2.594228000,0,1
2.594236700,1,1
2.594245400,0,1
2.594262800,1,1
2.594271400,0,1
2.594280100,1,1
2.594297500,0,1
2.594323500,1,1
2.594330300,1,0
2.594347700,1,1
2.594356400,1,0
2.594365000,1,1
2.594382400,1,0
2.594391100,1,1
2.594399800,1,0
2.594408400,1,1
2.594415200,0,1
2.594449900,1,1
2.594502000,0,1
2.594554100,1,1
2.594562800,0,1
2.594571500,1,1
2.594588900,0,1
2.594667000,1,1
2.594675700,0,1
2.594719100,1,1
2.594745100,0,1
2.594753800,1,1
2.594762500,0,1
2.594788500,1,1
2.594797200,0,1
2.594805900,1,1
2.594814600,0,1
2.594840600,1,1
2.594849300,0,1
2.594858000,1,1
2.594875300,0,1
2.594892700,1,1
2.594910100,0,1
2.594927400,1,1
2.594936100,0,1
2.594944800,1,1
2.594970800,0,1
2.594988200,1,1
2.594996900,0,1
2.595005500,1,1
2.595022900,0,1
2.595031600,1,1
2.595040300,0,1
2.595057600,1,1
2.595109700,0,1
2.595144400,1,1
2.595161800,0,1
2.595179200,1,1
2.599011700,1,0
2.599020400,1,1
2.599029100,1,0
2.599037800,1,1
2.599046400,1,0
2.599055100,1,1
2.599098500,1,0
2.599115900,1,1
2.599124600,1,0
2.599141900,1,1
2.599150600,1,0
2.599159300,1,1
2.599185300,1,0
2.599194000,1,1
2.599202700,1,0
2.599211400,1,1
2.599237400,1,0
2.599254800,1,1
2.599272200,1,0
2.599280800,1,1
2.599298200,1,0
2.599306900,1,1
2.599315600,1,0
2.599324200,1,1
2.599341600,1,0
2.599350300,1,1
2.599359000,1,0
2.599367600,1,1
2.599376300,1,0
2.599385000,1,1
2.599393700,1,0
2.599411000,1,1
2.599445800,1,0
2.599454500,1,1
2.599471800,1,0
2.599523900,1,1
2.599532600,1,0
2.599558600,1,1
2.599593400,1,0
2.599602000,1,1
2.599619400,1,0
2.599645400,1,1
2.599654100,1,0
2.599671500,1,1
2.599706200,1,0
2.599714900,1,1
2.599732300,1,0
2.599740900,1,1
2.599749600,1,0
2.599767000,1,1
2.599793000,1,0
2.599810400,1,1
2.599819100,1,0
2.599845100,1,1
2.599853800,1,0
2.599871200,1,1
2.599879800,1,0
2.599888500,1,1
2.599897200,1,0
2.599905900,1,1
2.599914600,1,0
2.599940600,1,1
2.599966700,1,0
2.599984000,1,1
2.599992700,1,0
2.600010100,1,1
2.600018700,1,0
2.600036100,1,1
2.600053500,1,0
2.600062100,1,1
2.600079500,1,0
2.600088200,1,1
2.600105600,1,0
2.600131600,1,1
2.600140300,1,0
2.600157600,1,1
2.600166300,1,0
2.600183700,1,1
2.600192400,1,0
2.600201000,1,1
2.600209700,1,0
2.600218400,1,1
2.600227100,1,0
2.600244400,1,1
2.600261800,1,0
2.600287900,1,1
2.600313100,0,1
2.600330400,1,1
2.600339100,0,1
2.600347800,1,1
2.600365200,0,1
2.600373900,1,1
2.600382500,0,1
2.600391200,1,1
2.600398500,1,0
2.600407200,1,1
2.600415900,1,0
2.600433300,1,1
2.600442000,1,0
2.600459300,1,1
2.600468000,1,0
2.600476700,1,1
2.600485400,1,0
2.600494000,1,1
2.600511400,1,0
2.600520100,1,1
2.600572200,1,0
2.600580800,1,1
2.600589500,1,0
2.600615600,1,1
2.600632900,1,0
2.600650300,1,1
2.600659000,1,0
2.600676300,1,1
2.600719800,1,0
2.600728400,1,1
2.600745800,1,0
2.600754500,1,1
2.600763200,1,0
2.600797900,1,1
2.600806600,1,0
2.600815200,1,1
2.600832600,1,0
2.600850000,1,1
2.600876000,1,0
2.600884700,1,1
2.600919400,1,0
2.600928100,1,1
2.600954100,1,0
2.600997500,1,1
2.601006200,1,0
2.601014900,1,1
2.601023600,1,0
2.601040900,1,1
2.601075700,1,0
2.601084400,1,1
2.601093000,1,0
2.601101700,1,1
2.601127800,1,0
2.601136400,1,1
2.601153800,1,0
2.601162500,1,1
2.601179900,1,0
2.601188500,1,1
2.601205900,1,0
2.601214600,1,1
2.601223300,1,0
2.601231900,1,1
2.601240600,1,0
2.601249300,1,1
2.601266700,1,0
2.601275300,1,1
2.601301400,1,0
2.601310100,1,1
2.601318800,1,0
2.601327400,1,1
2.601353500,1,0
2.601388200,1,1
2.601405600,1,0
2.601414200,1,1
2.601422900,1,0
2.601431600,1,1
2.601440300,1,0
2.601449000,1,1
2.601457700,1,0
2.601475000,1,1
2.601483700,1,0
2.601492400,1,1
2.601501100,1,0
2.601518400,1,1
2.601527100,1,0
2.601535800,1,1
2.601544500,1,0
2.601553100,1,1
2.601561800,1,0
2.601570500,1,1
2.601579200,1,0
2.601596500,1,1
2.601613900,1,0
2.601666000,1,1
2.601683400,1,0
2.601692000,1,1
2.601698800,0,1
2.601716200,1,1
2.601724900,0,1
2.601733600,1,1
2.601750900,0,1
2.601759600,1,1
2.601768300,0,1
2.601777000,1,1
2.601784300,1,0
2.601793000,1,1
2.601810300,1,0
2.601862400,1,1
2.601871100,1,0
2.601905800,1,1
2.601914500,1,0
