Time [s],Channel 1,Channel 2
0.000000000,1,1
2.511118500,1,0
2.511135800,1,1
2.511144500,1,0
2.511153100,1,1
2.511161800,1,0
2.511170400,1,1
2.511179100,1,0
2.511187700,1,1
2.511213700,1,0
2.511222300,1,1
2.511231000,1,0
2.511239600,1,1
2.511248300,1,0
2.511291500,1,1
2.512730500,0,1
2.512756500,1,1
2.512773800,0,1
2.512791100,1,1
2.512825700,0,1
2.512843000,1,1
2.512851700,0,1
2.512869000,1,1
2.512877700,0,1
2.512895000,1,1
2.512921000,0,1
2.512929600,1,1
2.512946900,0,1
2.512990200,1,1
2.513016200,0,1
2.513024800,1,1
2.513033500,0,1
2.513085400,1,1
2.513111400,0,1
2.513128700,1,1
2.513146000,0,1
2.513154600,1,1
2.513206600,0,1
2.513223900,1,1
2.513241200,0,1
2.513258500,1,1
2.513301800,0,1
2.513327800,1,1
2.513371000,0,1
2.513379700,1,1
2.513397000,0,1
2.513423000,1,1
2.513431700,0,1
2.513457600,1,1
2.513466300,0,1
2.513474900,1,1
2.513492200,0,1
2.513535500,1,1
2.513544200,0,1
2.513552800,1,1
2.513587500,0,1
2.513613400,1,1
2.513630800,0,1
2.513639400,1,1
2.513656700,0,1
2.513665400,1,1
2.513682700,0,1
2.513717300,1,1
2.513726000,0,1
2.513760600,1,1
2.513777900,0,1
2.513786500,1,1
2.513795200,0,1
2.513803800,1,1
2.513812500,0,1
2.513829800,1,1
2.513873100,0,1
2.513881800,1,1
2.513925100,0,1
2.513933700,1,1
2.513968300,0,1
2.513994300,1,1
2.514011600,0,1
2.514028900,1,1
2.514063600,0,1
2.514072200,1,1
2.514080900,0,1
2.514098200,1,1
2.514124200,0,1
2.514132800,1,1
2.514158800,0,1
2.514176100,1,1
2.514193400,0,1
2.514202100,1,1
2.514219400,0,1
2.514228000,1,1
2.514254000,0,1
2.514262700,1,1
2.514271300,0,1
2.514280000,1,1
2.514288700,0,1
2.514306000,1,1
2.514314600,0,1
2.514323300,1,1
2.514349300,0,1
2.514409800,1,1
2.514444400,0,1
2.514479000,1,1
2.514487700,0,1
2.514513600,1,1
2.514539600,0,1
2.514556900,1,1
2.514565600,0,1
2.514582900,1,1
2.514591600,0,1
2.514608900,1,1
2.514634800,0,1
2.514695400,1,1
2.514730100,0,1
2.514747300,1,1
2.514764700,0,1
2.514799300,1,1
2.514825200,0,1
2.514833900,1,1
2.514842600,0,1
2.514851200,1,1
2.514859900,0,1
2.514868500,1,1
2.514877200,0,1
2.514885800,1,1
2.514894500,0,1
2.514903100,1,1
2.514920500,0,1
2.514929100,1,1
2.514937800,0,1
2.514963700,1,1
2.514972400,0,1
2.514989700,1,1
2.515015600,0,1
2.515032900,1,1
2.515058900,0,1
2.515067600,1,1
2.515076200,0,1
2.515084900,1,1
2.515110900,0,1
2.515119500,1,1
2.515145500,0,1
2.515154100,1,1
2.515162800,0,1
2.515171500,1,1
2.515206100,0,1
2.515214700,1,1
2.515223400,0,1
2.515232100,1,1
2.515249400,0,1
2.515266700,1,1
2.515301300,0,1
2.515335900,1,1
2.515344600,0,1
2.515361900,1,1
2.515396500,0,1
2.515413800,1,1
2.515422500,0,1
2.515431100,1,1
2.515465800,0,1
2.515474400,1,1
2.515491700,0,1
2.515500400,1,1
2.515509000,0,1
2.515517700,1,1
2.515535000,0,1
2.515543700,1,1
2.515587000,0,1
2.515595600,1,1
2.515612900,0,1
2.515630200,1,1
2.515682200,0,1
2.515725400,1,1
2.515742800,0,1
2.515751400,1,1
2.515777400,0,1
2.515786000,1,1
2.515812000,0,1
2.515829300,1,1
2.515838000,0,1
2.515855300,1,1
2.515872600,0,1
2.515889900,1,1
2.515898500,0,1
2.515907200,1,1
2.515924500,0,1
2.515933100,1,1
2.515941800,0,1
2.515950500,1,1
2.515967800,0,1
2.515985100,1,1
2.516019700,0,1
2.516028400,1,1
2.516037000,0,1
2.516045700,1,1
2.516063000,0,1
2.516071600,1,1
2.516088900,0,1
2.516106200,1,1
2.516123600,0,1
2.516132200,1,1
2.516158200,0,1
2.516175500,1,1
2.516201400,0,1
2.516218700,1,1
2.516253400,0,1
2.516279300,1,1
2.516296600,0,1
2.516331200,1,1
2.516348500,0,1
2.516383100,1,1
2.516391800,0,1
2.516400500,1,1
2.516417800,0,1
2.516426400,1,1
2.516443700,0,1
2.516452400,1,1
2.516469700,0,1
2.516478300,1,1
2.516538900,0,1
2.516547600,1,1
2.516556200,0,1
2.516573500,1,1
2.516582200,0,1
2.516616800,1,1
2.516634100,0,1
2.516651400,1,1
2.516660100,0,1
2.516686000,1,1
2.516703300,0,1
2.516712000,1,1
2.516729300,0,1
2.516737900,1,1
2.516763900,0,1
2.516772600,1,1
2.516781200,0,1
2.516789900,1,1
2.516824500,0,1
2.516833100,1,1
2.516867800,0,1
2.516885100,1,1
2.516919700,0,1
2.516928300,1,1
2.516937000,0,1
2.516945600,1,1
2.516963000,0,1
2.516980200,1,1
2.516988900,0,1
2.516997500,1,1
2.517014900,0,1
2.517032200,1,1
2.517040800,0,1
2.517049500,1,1
2.517084100,0,1
2.517092700,1,1
2.517110000,0,1
2.517127300,1,1
2.517153300,0,1
2.517187900,1,1
2.517205200,0,1
2.517213900,1,1
2.517222500,0,1
2.517231200,1,1
2.517257200,0,1
2.517265800,1,1
2.517274500,0,1
2.517283100,1,1
2.517300400,0,1
2.517326400,1,1
2.517335000,0,1
2.517369600,1,1
2.517395600,0,1
2.517421600,1,1
2.517438900,0,1
2.517456200,1,1
2.520177000,1,0
2.520203000,1,1
2.520220300,1,0
2.520237600,1,1
2.520272200,1,0
2.520280900,1,1
2.520298300,1,0
2.520315600,1,1
2.520367500,1,0
2.520384800,1,1
2.520393500,1,0
2.520419400,1,1
2.520428100,1,0
2.520445400,1,1
2.520462700,1,0
2.520497400,1,1
2.520558000,1,0
2.520566600,1,1
2.520584000,1,0
2.520601300,1,1
2.520618600,1,0
2.520635900,1,1
2.520653200,1,0
2.520670500,1,1
2.520679200,1,0
2.520687900,1,1
2.520705200,1,0
2.520722500,1,1
2.520748500,1,0
2.520757200,1,1
2.520774500,1,0
2.520800500,1,1
2.520809100,1,0
2.520826400,1,1
2.520843800,1,0
2.520887000,1,1
2.520895700,1,0
2.520904400,1,1
2.520913000,1,0
2.520921700,1,1
2.520939000,1,0
2.520956300,1,1
2.520965000,1,0
2.520973600,1,1
2.520991000,1,0
2.521008300,1,1
2.521034200,1,0
2.521042900,1,1
2.521051600,1,0
2.521086200,1,1
2.521094800,1,0
2.521103500,1,1
2.521129500,1,0
2.521155400,1,1
2.521164100,1,0
2.521172700,1,1
2.521181400,1,0
2.521198700,1,1
2.521224700,1,0
2.521242000,1,1
2.521250700,1,0
2.521259300,1,1
2.521268000,1,0
2.521285300,1,1
2.521294000,1,0
2.521302600,1,1
2.521319900,1,0
2.521328600,1,1
2.521337300,1,0
2.521354600,1,1
2.521363200,1,0
2.521371900,1,1
2.521380500,1,0
2.521389200,1,1
2.521415100,1,0
2.521441100,1,1
2.521449800,1,0
2.521458400,1,1
2.521510400,1,0
2.521519000,1,1
2.521536300,1,0
2.521545000,1,1
2.521553600,1,0
2.521579600,1,1
2.521605500,1,0
2.521614200,1,1
2.521622800,1,0
2.521640100,1,1
2.521666100,1,0
2.521683400,1,1
2.521700800,1,0
2.521718100,1,1
2.521726700,1,0
2.521735400,1,1
2.521752700,1,0
2.521778600,1,1
2.521795900,1,0
2.521804600,1,1
2.521813300,1,0
2.521830600,1,1
2.521865200,1,0
2.521873800,1,1
2.521891100,1,0
2.521899800,1,1
2.521908400,1,0
2.521969000,1,1
2.521986300,1,0
2.521994900,1,1
2.522003600,1,0
2.522020900,1,1
2.522038200,1,0
2.522046900,1,1
2.522055600,1,0
2.522064200,1,1
2.522081500,1,0
2.522090200,1,1
2.522098900,1,0
2.522124800,1,1
2.522133500,1,0
2.522142200,1,1
2.522150800,1,0
2.522159500,1,1
2.522176800,1,0
2.522185500,1,1
2.522202800,1,0
2.522228800,1,1
2.522246100,1,0
2.522254800,1,1
2.522272100,1,0
2.522298000,1,1
2.522324000,1,0
2.522332700,1,1
2.522341400,1,0
2.522350000,1,1
2.522367300,1,0
2.522376000,1,1
2.522393300,1,0
2.522410600,1,1
2.522427900,1,0
2.522445200,1,1
2.522462600,1,0
2.522471200,1,1
2.522488500,1,0
2.522505800,1,1
2.522514500,1,0
2.522540400,1,1
2.522557700,1,0
2.522575000,1,1
2.522601000,1,0
2.522609700,1,1
2.522627000,1,0
2.522635700,1,1
2.522653100,1,0
2.522679000,1,1
2.522687700,1,0
2.522713700,1,1
2.522722400,1,0
2.522731000,1,1
2.522748300,1,0
2.522757000,1,1
2.522774300,1,0
2.522826300,1,1
2.522843600,1,0
2.522852200,1,1
2.522869600,1,0
2.522878300,1,1
2.522886900,1,0
2.522895600,1,1
2.522938900,1,0
2.522973500,1,1
2.522982200,1,0
2.523016800,1,1
2.523034100,1,0
2.523051400,1,1
2.523060100,1,0
2.523068700,1,1
2.523129300,1,0
2.523146600,1,1
2.523155300,1,0
2.523172600,1,1
2.523181300,1,0
2.523207200,1,1
2.523224600,1,0
